title,price,location,full_address,bedrooms,bathrooms,property_type,project_name,offer_type,construction_year,parking_spaces,ownership_type,floor_area,floor,condition,project_link,publish_date,publish_by,latitude,longitude
"For Sale 2 Bedroom Unit in One Balete, Skyline Tower","₱ 17,500,000","Cubao, Quezon City","Skyline Premiere at One Balete, Cubao, Quezon City, Metro Manila, Philippines",2 bedrooms,2 bathrooms,Condo,Skyline Premiere at One Balete,For Sale,,1,,86 sqm,,,https://www.lamudi.com.ph/projects/skyline-premiere-at-one-balete/,3 hours ago,My Hometown Realty & Developer Inc. (FT),14.6153897,121.0399083
"For Sale 2 Bedroom Unit in One Balete, Skyline Tower","₱ 16,000,000","Cubao, Quezon City","Skyline Premiere at One Balete, Cubao, Quezon City, Metro Manila, Philippines",2 bedrooms,2 bathrooms,Condo,Skyline Premiere at One Balete,For Sale,,1,,77 sqm,,,https://www.lamudi.com.ph/projects/skyline-premiere-at-one-balete/,4 hours ago,My Hometown Realty & Developer Inc. (FT),14.6153897,121.0399083
Executive 2-Bedroom with Parking in Magnolia Residences,"₱ 17,000,000","Horseshoe, Quezon City","The Magnolia residences – Tower A, B, and C, Horseshoe, Quezon City, Metro Manila, Philippines",2 bedrooms,,Condo,"The Magnolia residences – Tower A, B, and C",For Sale,,1,,79 sqm,,,https://www.lamudi.com.ph/projects/41032-73-b18a049a58c4-22f8-1462a2dc-b8d3-4e45,4 hours ago,My Hometown Realty & Developer Inc. (FT),14.6138356,121.0384865
𝟏𝐁𝐑 𝐂𝐨𝐧𝐝𝐨 𝐔𝐧𝐢𝐭 𝐟𝐨𝐫 𝐒𝐚𝐥𝐞 𝐚𝐭 𝐓𝐡𝐞 𝐕𝐚𝐧𝐭𝐚𝐠𝐞 𝐢𝐧 𝐏𝐚𝐬𝐢𝐠 𝐂𝐢𝐭𝐲,"₱ 12,500,000","Capitol Subdivision, Pasig","The Vantage at Kapitolyo, Capitol Subdivision, Pasig, Metro Manila, Philippines",1 bedroom,1 bathroom,Condo,The Vantage at Kapitolyo,For Sale,,,,40 sqm,,Unfurnished,https://www.lamudi.com.ph/projects/the-vantage-at-kapitolyo/,4 hours ago,Jared Dimangondayao,14.5729019,121.0599034
1 Bedroom For Sale in Victoria de Morato,"₱ 3,800,000","Ramon Magsaysay, Quezon City","Victoria de Morato, Ramon Magsaysay, Quezon City, Metro Manila, Philippines",1 bedroom,1 bathroom,Condo,Victoria de Morato,For Sale,,,Freehold,22 sqm,,,https://www.lamudi.com.ph/projects/victoria-de-morato/,5 hours ago,My Hometown Realty & Developer Inc. (FT),14.6364954,121.0364155
"Studio Unit For Sale in Victoria Sports Tower, Quezon City","₱ 1,900,000","Diliman, Quezon City","Victoria Sports Tower, Diliman, Quezon City, Metro Manila, Philippines",,,Condo,Victoria Sports Tower,For Sale,,,,32 sqm,,Unfurnished,https://www.lamudi.com.ph/projects/victoria-sports-tower/,5 hours ago,My Hometown Realty & Developer Inc. (FT),14.636086,121.04254
1 Bedroom Condo in Pasay Ready for Occupancy Mall of Asia For Rent,"₱ 5,500,000","San Isidro, Pasay","Quantum Residences, San Isidro, Pasay, Metro Manila, Philippines",1 bedroom,1 bathroom,Condo,Quantum Residences,For Sale,,,Freehold,1 sqm,12,Unfurnished,https://www.lamudi.com.ph/projects/quantum-residences/,6 hours ago,Property by Jeann & Ruffa,14.5527891,120.9980211
1 Bedroom Condo in Pasay Ready for Occupancy Mall of Asia For Rent,"₱ 33,000","San Isidro, Pasay","Quantum Residences, San Isidro, Pasay, Metro Manila, Philippines",1 bedroom,1 bathroom,Condo,Quantum Residences,For Sale,,,Freehold,1 sqm,12,Unfurnished,https://www.lamudi.com.ph/projects/quantum-residences/,6 hours ago,Property by Jeann & Ruffa,14.5527891,120.9980211
1 Bedroom Unit For Sale in The Steps (Sta. Mesa Heights),"₱ 3,624,000","Matalahib, Quezon City","The Steps - Quezon City, Matalahib, Quezon City, Metro Manila, Philippines",1 bedroom,1 bathroom,Condo,The Steps - Quezon City,For Sale,,,Freehold,48 sqm,,,https://www.lamudi.com.ph/projects/the-steps-quezon-city/,7 hours ago,My Hometown Realty & Developer Inc. (FT),14.6323888,121.0060929
Makati Condo 1Br 26sqm Rfo Rent to Own San Lorenzo Place in Makati Edsa Ayala Bgc Taguig Mckindley Pasig Mrt Lrt,"₱ 2,001,110","Bangkal, Makati","San Lorenzo Place, Bangkal, Makati, Metro Manila, Philippines",1 bedroom,1 bathroom,Condo,San Lorenzo Place,For Sale,,,,4 sqm,16,Unfurnished,https://www.lamudi.com.ph/projects/san-lorenzo-place/,7 hours ago,Jerald Yucot,14.5423811,121.0182744
Spacious 3 Bedroom Condominium in New Manila Quezon City Move-In Ready,"₱ 7,946,000","New Manila, Quezon City","Gilmore Tower, New Manila, Quezon City, Metro Manila, Philippines",3 bedrooms,2 bathrooms,Condo,Gilmore Tower,For Sale,2019,,Freehold,58 sqm,,Partly furnished,https://www.lamudi.com.ph/projects/gilmore-tower/,7 hours ago,MyHomeTown Realty and Development Inc. (DF),14.6119108,121.0360502
Pioneer Woodlands 1Br 30.6sqm Rfo Mandaluyong Condo Boni in Mrt Lrt Edsa Pasig Ortigas Taguig Ayala Bgc Edsa Makati Pasay,"₱ 2,410,000","Barangka Ilaya, Mandaluyong","Pioneer Woodlands, Barangka Ilaya, Mandaluyong, Metro Manila, Philippines",1 bedroom,1 bathroom,Condo,Pioneer Woodlands,For Sale,,,,5 sqm,14,Unfurnished,https://www.lamudi.com.ph/projects/pioneer-woodlands/,8 hours ago,Jerald Yucot,14.5727432,121.0481746
2Br 32.5sqm Mandaluyong Condo Rent to Own Rfo in Makati Mandaluyong Bgc Ayala Taguig Pasig Boni Edsa Mrt Lrt Guada Shaw Megamall Shangrila Starmall,"₱ 2,801,000","Barangka Ilaya, Mandaluyong","Pioneer Woodlands, Barangka Ilaya, Mandaluyong, Metro Manila, Philippines",2 bedrooms,1 bathroom,Condo,Pioneer Woodlands,For Sale,,,,4 sqm,21,Unfurnished,https://www.lamudi.com.ph/projects/pioneer-woodlands/,8 hours ago,Jerald Yucot,14.5727432,121.0481746
Ready for Occupancy 1 Bedroom Condominium in Gilmore Avenue Quezon City,"₱ 4,932,000","New Manila, Quezon City","Gilmore Tower, New Manila, Quezon City, Metro Manila, Philippines",1 bedroom,1 bathroom,Condo,Gilmore Tower,For Sale,2019,,Freehold,36 sqm,,Partly furnished,https://www.lamudi.com.ph/projects/gilmore-tower/,9 hours ago,MyHomeTown Realty and Development Inc. (DF),14.6119108,121.0360502
"Rent to Own Condo in Pasig Ortigas 2BR with Balcony. Mrt Megamall Greenfield Ortigas Gilmore Cubao. accessable to north and south area. near tendesitas, sm hypermarket. good for Airbnb business.","₱ 4,500,001","Ugong, Pasig","Kasara Urban Resort, Ugong, Pasig, Metro Manila, Philippines",2 bedrooms,2 bathrooms,Condo,Kasara Urban Resort,For Sale,,,,5 sqm,15,Unfurnished,https://www.lamudi.com.ph/projects/41032-73-4962db0f16f6-44a3-b4a29d26-ad23-437b,9 hours ago,Jerald Yucot,14.5817871,121.0783535
1 Bedroom rent to own condo in Paseo De Roces makati chino roces makati city,Request Details,"Pio Del Pilar, Makati","Paseo De Roces, Pio Del Pilar, Makati, Metro Manila, Philippines",1 bedroom,1 bathroom,Condo,Paseo De Roces,Buy & Rent,,,,37 sqm,,,https://www.lamudi.com.ph/projects/paseo-de-roces/,9 hours ago,Dream Property,14.5563198,121.0135698
RENT TO OWN AND PRESELLING Studio Resort Type Pasig Condo  in Ortigas Pasig C5 Tiendesitas Taguig Bgc Eastwood I.P.I good for Airbnb business.,"₱ 1,500,001","Ugong, Pasig","Kasara Urban Resort, Ugong, Pasig, Metro Manila, Philippines",,1 bathroom,Studio,Kasara Urban Resort,For Sale,,,,3 sqm,17,Unfurnished,https://www.lamudi.com.ph/projects/41032-73-4962db0f16f6-44a3-b4a29d26-ad23-437b,9 hours ago,Jerald Yucot,14.5817871,121.0783535
"rent to own 1 bedroom condo for sale in chino roces makati city near greenbelt, ayala, rcbc plaza",Request Details,"San Isidro, Pasay","Quantum Residences, San Isidro, Pasay, Metro Manila, Philippines",1 bedroom,1 bathroom,Condo,Quantum Residences,Buy & Rent,,,,37 sqm,,,https://www.lamudi.com.ph/projects/quantum-residences/,9 hours ago,Dream Property,14.5527891,120.9980211
rfo condo in pasay rent to own ready for occupancy near macapagal roxas blvd pasay,"₱ 3,600,900","San Isidro, Pasay","Quantum Residences, San Isidro, Pasay, Metro Manila, Philippines",,1 bathroom,Condo,Quantum Residences,For Sale,,,Freehold,21 sqm,12,Partly furnished,https://www.lamudi.com.ph/projects/quantum-residences/,11 hours ago,Kristine Joy Pascua,14.5527891,120.9980211
rfo condo in pasay quantum residences near libertad cartimar la salle pasay,"₱ 3,400,000","San Isidro, Pasay","Quantum Residences, San Isidro, Pasay, Metro Manila, Philippines",,1 bathroom,Condo,Quantum Residences,For Sale,,,Freehold,21 sqm,21,Partly furnished,https://www.lamudi.com.ph/projects/quantum-residences/,12 hours ago,Kristine Joy Pascua,14.5527891,120.9980211
3BR Condo for sale Asteria Paranaque DMCI Project With parking slot,"₱ 9,500,000","San Isidro, Parañaque","Asteria Residences, San Isidro, Parañaque, Metro Manila, Philippines",3 bedrooms,2 bathrooms,Condo,Asteria Residences,For Sale,,1,Freehold,87 sqm,4,Partly furnished,https://www.lamudi.com.ph/projects/asteria-residences/,12 hours ago,Corz Cascayan,14.4675841,121.004846
Sale: 2 Bedroom Condo Unit near TV5 EDSA MRT and Greenfield District,"₱ 6,700,000","Highway Hills, Mandaluyong","Flair Towers, Highway Hills, Mandaluyong, Metro Manila, Philippines",2 bedrooms,1 bathroom,Condo,Flair Towers,For Sale,,,Freehold,48 sqm,,Partly furnished,https://www.lamudi.com.ph/projects/flair-towers/,19 hours ago,Maricel Lobiano,14.5751783,121.0516097
THE AMARYLLIS CONDO 4br Rush for Sale,"₱ 13,000,000","Gilmore, Quezon City","The Amaryllis, Gilmore, Quezon City, Metro Manila, Philippines",4 bedrooms,2 bathrooms,Condo,The Amaryllis,For Sale,,,Freehold,85 sqm,15,Fully furnished,https://www.lamudi.com.ph/projects/the-amaryllis/,"1 day, 3 hours ago",Real Estate Salesperson | Joe Gonzales,14.6239236,121.0331161
"1 Bedroom For Lease in Signa Designer, Makati City","₱ 7,000,000","Bel-Air, Makati","Signa Designer Residences, Bel-Air, Makati, Metro Manila, Philippines",1 bedroom,,Condo,Signa Designer Residences,For Sale,2015,,Freehold,37 sqm,4,Fully furnished,https://www.lamudi.com.ph/projects/signa-designer-residences-1/,"1 day, 3 hours ago",Infinity Realty,14.5592579,121.0190855
"2 Bedroom For Sale in Fort Victoria Tower, Taguig City","₱ 8,500,000","Fort Bonifacio, Taguig","Fort Victoria, Fort Bonifacio, Taguig, Metro Manila, Philippines",2 bedrooms,2 bathrooms,Condo,Fort Victoria,For Sale,2013,,Freehold,45 sqm,14,Fully furnished,https://www.lamudi.com.ph/projects/fort-victoria/,"1 day, 3 hours ago",Infinity Realty,14.5469102,121.0457164
Below market 1 bedroom for sale in BGC - Trion Towers,"₱ 7,800,000","Fort Bonifacio, Taguig","The Trion Towers I, Fort Bonifacio, Taguig, Metro Manila, Philippines",1 bedroom,1 bathroom,Condo,The Trion Towers I,For Sale,,,Freehold,41 sqm,8,Fully furnished,https://www.lamudi.com.ph/projects/41032-73-86c69a008a5f-6834-5b4241eb-8560-4092,"1 day, 5 hours ago",Properties for sale and for lease,14.5460967,121.0495991
Arca South Condominium Unit for Sale,"₱ 12,500,000","Taguig, Metro Manila","Arca South, Taguig, Metro Manila, Metro Manila, Philippines",1 bedroom,1 bathroom,Condo,Arca South,For Sale,,,Freehold,52 sqm,12,Partly furnished,https://www.lamudi.com.ph/projects/arca-south/,"1 day, 5 hours ago",Catherine Fortunata Abiera Pabalan,14.5042267,121.0452082
"For Sale: 3BR at Sakura Tower, Proscenium","₱ 66,000,000","Guadalupe Viejo, Makati","Proscenium at Rockwell, Guadalupe Viejo, Makati, Metro Manila, Philippines",3 bedrooms,3 bathrooms,Condo,Proscenium at Rockwell,For Sale,2019,2,Freehold,165 sqm,,Fully furnished,https://www.lamudi.com.ph/projects/proscenium-at-rockwell-1/,"1 day, 6 hours ago",The Infinity Realty,14.5661112,121.0387092
"For Sale: 3BR at One Rockwell East, Makati","₱ 60,000,000","Makati, Metro Manila","One Rockwell East Tower, Makati, Metro Manila, Metro Manila, Philippines",3 bedrooms,3 bathrooms,Condo,One Rockwell East Tower,For Sale,2010,2,Freehold,184 sqm,,Partly furnished,https://www.lamudi.com.ph/projects/41032-73-2b4fc0b40c0-6330-79dc6a25-96e7-476b,"1 day, 6 hours ago",The Infinity Realty,14.5634222,121.0383925
"For Sale: 2BR at One Rockwell West, Makati","₱ 29,400,000","Makati, Metro Manila","One Rockwell, Makati, Metro Manila, Metro Manila, Philippines",2 bedrooms,2 bathrooms,Loft,One Rockwell,For Sale,2010,1,Freehold,98 sqm,,Partly furnished,https://www.lamudi.com.ph/projects/one-rockwell/,"1 day, 6 hours ago",The Infinity Realty,14.5634222,121.0383925
"For Sale: 2BR at One Rockwell West, Makati","₱ 27,500,000","Makati, Metro Manila","One Rockwell, Makati, Metro Manila, Metro Manila, Philippines",2 bedrooms,2 bathrooms,Loft,One Rockwell,For Sale,2010,1,Freehold,88 sqm,,Fully furnished,https://www.lamudi.com.ph/projects/one-rockwell/,"1 day, 6 hours ago",The Infinity Realty,14.5634222,121.0383925
"Studio For Sale in The Milano Residences, Makati City","₱ 6,590,000","San Miguel Village, Makati","The Milano Residences, San Miguel Village, Makati, Metro Manila, Philippines",,1 bathroom,Studio,The Milano Residences,For Sale,,,,28 sqm,,Partly furnished,https://www.lamudi.com.ph/projects/the-milano-residences/,"1 day, 7 hours ago",Malou Suerte,14.5670334,121.0273118
"For Sale: 1BR at Manansala Tower, Rockwelll","₱ 20,000,000","Bangkal, Makati","Manansala Tower, Bangkal, Makati, Metro Manila, Philippines",1 bedroom,1 bathroom,Condo,Manansala Tower,For Sale,2005,1,Freehold,66 sqm,,Partly furnished,https://www.lamudi.com.ph/projects/41032-73-845dc2345ca5-d6ae-f4ee9ab8-b2ed-4845,"1 day, 7 hours ago",The Infinity Realty,14.5640382,121.0381395
3 Bedroom condo unit For Sale in One Roxas Triangle at Makati City,"₱ 164,835,165","Urdaneta, Makati","One Roxas Triangle, Urdaneta, Makati, Metro Manila, Philippines",3 bedrooms,4 bathrooms,Condo,One Roxas Triangle,For Sale,,3,,286 sqm,39,Partly furnished,https://www.lamudi.com.ph/projects/41032-73-fe193415beec-f46a-6b8934d0-a14c-4e76,"1 day, 7 hours ago",Jared Dimangondayao,14.5599207,121.0286049
"3 Bedroom For Sale in The Bellagio Tower, Taguig City","₱ 38,000,000","Fort Bonifacio, Taguig","The Bellagio, Fort Bonifacio, Taguig, Metro Manila, Philippines",3 bedrooms,3 bathrooms,Condo,The Bellagio,For Sale,,1,,119 sqm,,Fully furnished,https://www.lamudi.com.ph/projects/the-bellagio/,"1 day, 9 hours ago",Malou Suerte,14.5526548,121.0434987
"3 Bedroom For Sale in St. Moritz Private Estate, Taguig City","₱ 125,000,000","Taguig, Metro Manila","St. Moritz Private Estate, Taguig, Metro Manila, Metro Manila, Philippines",3 bedrooms,3 bathrooms,Condo,St. Moritz Private Estate,For Sale,,3,,220 sqm,,Fully furnished,https://www.lamudi.com.ph/projects/st-moritz-private-estate/,"1 day, 9 hours ago",Malou Suerte,14.5378393,121.0457589
San Juan Condo 2Br Rfo Rent to Own Little Baguio Terraces in Gilmore Heights LRT Cubao Edsa Greenhills Ortigas San Juan Mandaluyong Edsa,"₱ 2,600,011","Ermitaño, San Juan","Little Baguio Terraces, Ermitaño, San Juan, Metro Manila, Philippines",2 bedrooms,1 bathroom,Condo,Little Baguio Terraces,For Sale,,,,4 sqm,8,Unfurnished,https://www.lamudi.com.ph/projects/little-baguio-terraces/,"1 day, 9 hours ago",Jerald Yucot,14.6102392,121.0303782
2Br 30sqm Rfo Move in Agad! San Juan Condo Little Baguio Terraces in LRT MRT Cubao Robinson Magnolia Greenhills Ortigas Mandaluyong Gilmore Heights,"₱ 2,400,039","Ermitaño, San Juan","Little Baguio Terraces, Ermitaño, San Juan, Metro Manila, Philippines",2 bedrooms,1 bathroom,Condo,Little Baguio Terraces,For Sale,,,,5 sqm,14,Unfurnished,https://www.lamudi.com.ph/projects/little-baguio-terraces/,"1 day, 9 hours ago",Jerald Yucot,14.6102392,121.0303782
"1 Bedroom For Sale in The Trion Tower, Taguig City","₱ 12,000,000","Fort Bonifacio, Taguig","The Trion Towers I, Fort Bonifacio, Taguig, Metro Manila, Philippines",1 bedroom,1 bathroom,Condo,The Trion Towers I,For Sale,,,,41 sqm,,Unfurnished,https://www.lamudi.com.ph/projects/41032-73-86c69a008a5f-6834-5b4241eb-8560-4092,"1 day, 9 hours ago",Malou Suerte,14.5460967,121.0495991
"Fully-furnished 2-Bedroom with Balcony in Joya Lofts and Towers, Rockwell, Makati City","₱ 28,000,000","Makati, Metro Manila","Joya Lofts and Towers, Makati, Metro Manila, Metro Manila, Philippines",2 bedrooms,2 bathrooms,Condo,Joya Lofts and Towers,For Sale,,1,,79 sqm,,Fully furnished,https://www.lamudi.com.ph/projects/joya-lofts-and-towers/,"1 day, 10 hours ago",Nikko de Guzman,14.5650534,121.0377013
"1 Bedroom For Sale in Icon Plaza, Taguig City","₱ 13,800,000","Fort Bonifacio, Taguig","Icon Plaza, Fort Bonifacio, Taguig, Metro Manila, Philippines",1 bedroom,1 bathroom,Condo,Icon Plaza,For Sale,,1,,60 sqm,,Fully furnished,https://www.lamudi.com.ph/projects/icon-plaza/,"1 day, 10 hours ago",Malou Suerte,14.548228,121.0477985
"Studio For Sale in The Venice Luxury Residences, Taguig City","₱ 6,500,000","McKinley Hill, Taguig","The Venice Luxury Residences, McKinley Hill, Taguig, Metro Manila, Philippines",,1 bathroom,Studio,The Venice Luxury Residences,For Sale,,,,41 sqm,,Partly furnished,https://www.lamudi.com.ph/projects/the-venice-luxury-residences/,"1 day, 10 hours ago",Malou Suerte,14.5331906,121.0507124
for sale 1 bedroom with parking in makati,"₱ 6,200,000","Guadalupe Viejo, Makati","Brio Tower, Guadalupe Viejo, Makati, Metro Manila, Philippines",1 bedroom,1 bathroom,Condo,Brio Tower,For Sale,,1,Freehold,22 sqm,2,Unfurnished,https://www.lamudi.com.ph/projects/brio-tower/,"1 day, 10 hours ago",Mana Realty Corporation,14.5629618,121.0425589
"For Sale : 3BR at Kirov Tower, Proscenium","₱ 90,000,000","Guadalupe Viejo, Makati","Proscenium at Rockwell, Guadalupe Viejo, Makati, Metro Manila, Philippines",3 bedrooms,3 bathrooms,Condo,Proscenium at Rockwell,For Sale,2022,2,Freehold,224 sqm,,Fully furnished,https://www.lamudi.com.ph/projects/proscenium-at-rockwell-1/,"1 day, 11 hours ago",The Infinity Realty,14.5661112,121.0387092
BGC CORNER UNIT FOR SALE WITH PARKING,"₱ 21,500,000","Fort Bonifacio, Taguig","Fairways Tower, Fort Bonifacio, Taguig, Metro Manila, Philippines",2 bedrooms,1 bathroom,Condo,Fairways Tower,For Sale,2008,1,Freehold,75 sqm,20,Fully furnished,https://www.lamudi.com.ph/projects/fairways-tower/,"1 day, 11 hours ago",Property Collective PH (PCPH Realty and Property Management Services),14.5459012,121.0455423
"FOR SALE — Studio Unit in Avida Tower One Union Place, ARCA South","₱ 6,500,000","Taguig, Metro Manila","Avida Towers One Union Place, Taguig, Metro Manila, Metro Manila, Philippines",1 bedroom,1 bathroom,Studio,Avida Towers One Union Place,For Sale,,,Freehold,22 sqm,,Partly furnished,https://www.lamudi.com.ph/projects/avida-towers-one-union-place/,"1 day, 12 hours ago",Manila Homes Brokers Inc.,14.5029325,121.0476261
THE GROVE BY ROCKWELL,"₱ 16,000,000","Ugong, Pasig","The Grove By Rockwell, Ugong, Pasig, Metro Manila, Philippines",4 bedrooms,3 bathrooms,Condo,The Grove By Rockwell,For Sale,2015,1,Freehold,90 sqm,27,Fully furnished,https://www.lamudi.com.ph/projects/the-grove-by-rockwell/,"1 day, 20 hours ago",Linked-in Corporation  1,14.5856768,121.0813314
PROMO 12% DP in 36 months 1 Bedroom-28sqm Condo For Sale in Taft Malate Manila The Camden Place near DLSU St. Scholasticas College Vito Cruz LRT,"₱ 5,880,300","Malate, Manila","The Camden Place, Malate, Manila, Metro Manila, Philippines",1 bedroom,1 bathroom,Condo,The Camden Place,For Sale,,,Freehold,28 sqm,,Unfurnished,https://www.lamudi.com.ph/projects/the-camden-place/,"1 day, 20 hours ago",Mechele Escovidal,14.5617413,120.9970145
For Sale 1 Bedroom Condo in Taft Manila The Camden Place near DLSU Vito Cruz LRT Station,"₱ 5,974,000","Malate, Manila","The Camden Place, Malate, Manila, Metro Manila, Philippines",1 bedroom,1 bathroom,Condo,The Camden Place,For Sale,,,Freehold,28 sqm,29,Unfurnished,https://www.lamudi.com.ph/projects/the-camden-place/,"1 day, 21 hours ago",Mechele Escovidal,14.5617413,120.9970145
For Sale Preselling Premium Two Bedroom Condo Unit at Shang Summit Quezon City,"₱ 30,272,000","Diliman, Quezon City","Shang Summit, Diliman, Quezon City, Metro Manila, Philippines",2 bedrooms,2 bathrooms,Condo,Shang Summit,For Sale,,1,Freehold,88 sqm,14,Partly furnished,https://www.lamudi.com.ph/projects/41032-73-9409b20c227f-c3c6-10a69844-96ea-425d,"1 day, 21 hours ago",Shiera Lining,14.6362321,121.0395395
For Sale Two bedroom Condo Unit in Proscenium Rockwell Makati,"₱ 39,000,000","Guadalupe Viejo, Makati","Proscenium at Rockwell, Guadalupe Viejo, Makati, Metro Manila, Philippines",2 bedrooms,2 bathrooms,Condo,Proscenium at Rockwell,For Sale,,1,,89 sqm,22,Fully furnished,https://www.lamudi.com.ph/projects/proscenium-at-rockwell-1/,"1 day, 22 hours ago",Shiera Lining,14.5661112,121.0387092
Condo in Pasay 2 Bedrooms Rent To Own units For Sale,"₱ 45,000","Pasay, Metro Manila","Palm Beach West, Pasay, Metro Manila, Metro Manila, Philippines",2 bedrooms,1 bathroom,Condo,Palm Beach West,For Sale,,,,43 sqm,,Unfurnished,https://www.lamudi.com.ph/projects/palm-beach-west/,"1 day, 23 hours ago",Federal Land Condo Projects PH,14.5429196,120.9890313
2 Bedrooms Condo unit Rent To Own For Sale in Bay Area Pasay,"₱ 38,000","Pasay, Metro Manila","Palm Beach West, Pasay, Metro Manila, Metro Manila, Philippines",2 bedrooms,1 bathroom,Condo,Palm Beach West,For Sale,2023,,Freehold,39 sqm,,Unfurnished,https://www.lamudi.com.ph/projects/palm-beach-west/,2 days ago,Federal Land Condo Projects PH,14.5429196,120.9890313
Condo for sale rent to own in Bay Area Pasay,"₱ 39,000","Pasay, Metro Manila","Palm Beach West, Pasay, Metro Manila, Metro Manila, Philippines",2 bedrooms,1 bathroom,Condo,Palm Beach West,For Sale,2023,,Freehold,39 sqm,,Unfurnished,https://www.lamudi.com.ph/projects/palm-beach-west/,2 days ago,Federal Land Condo Projects PH,14.5429196,120.9890313
"SAGE RESIDENCES - 2BR PRE-SELLING for sale in Domingo M. Guevarra and Sinag Streets, Mauway, Mandaluyong City","₱ 8,437,000","Mauway, Mandaluyong","Sage Residences, Mauway, Mandaluyong, Metro Manila, Philippines",2 bedrooms,1 bathroom,Condo,Sage Residences,For Sale,2028,,Freehold,55 sqm,10,Unfurnished,https://www.lamudi.com.ph/projects/sage-residences/,2 days ago,Roberto Siriban Jr,14.5801782,121.0464631
"Studio For Sale at The Proscenium, Rockwell","₱ 13,500,000","Makati, Metro Manila","The Proscenium at Rockwell, Makati, Metro Manila, Metro Manila, Philippines",,1 bathroom,Studio,The Proscenium at Rockwell,For Sale,2022,,Freehold,29 sqm,,Fully furnished,https://www.lamudi.com.ph/projects/41032-73-4236818733a6-4ab3-5bd02b34-ab99-4333,"2 days, 3 hours ago",The Infinity Realty,14.5661112,121.0387092
"For Sale 1 Bedroom with Balcony in Two Central, Salcedo, Makati | Best Realtor","₱ 8,800,000","Bel-Air, Makati","Two Central, Bel-Air, Makati, Metro Manila, Philippines",1 bedroom,1 bathroom,Condo,Two Central,For Sale,,,,62 sqm,26,Fully furnished,https://www.lamudi.com.ph/projects/two-central/,"2 days, 3 hours ago",Best Realtor,14.559826,121.018519
"For Sale: 1BR at The Proscenium, Rockwell","₱ 23,500,000","Makati, Metro Manila","The Proscenium at Rockwell, Makati, Metro Manila, Metro Manila, Philippines",1 bedroom,1 bathroom,Condo,The Proscenium at Rockwell,For Sale,2022,1,Freehold,62 sqm,,Fully furnished,https://www.lamudi.com.ph/projects/41032-73-4236818733a6-4ab3-5bd02b34-ab99-4333,"2 days, 3 hours ago",The Infinity Realty,14.5661112,121.0387092
Studio type condo in Two Central | Best Realtor,"₱ 7,500,000","Bel-Air, Makati","Two Central, Bel-Air, Makati, Metro Manila, Philippines",,1 bathroom,Condo,Two Central,For Sale,,,,40 sqm,18,Fully furnished,https://www.lamudi.com.ph/projects/two-central/,"2 days, 3 hours ago",Best Realtor,14.559826,121.018519
"Studio For Sale in The Viceroy Tower, Taguig City","₱ 4,500,000","Bagong Tanyag, Taguig","The Viceroy Residences, Bagong Tanyag, Taguig, Metro Manila, Philippines",,1 bathroom,Studio,The Viceroy Residences,For Sale,,,,23 sqm,,Unfurnished,https://www.lamudi.com.ph/projects/41032-73-e0deb5db9740-2bdb-329408a-bbca-4cbd,"2 days, 3 hours ago",Malou Suerte,14.5327212,121.0498396
"For Sale 1 Bedroom with Balcony in Two Central, Makati | Best Realtor","₱ 9,500,000","Bel-Air, Makati","Two Central, Bel-Air, Makati, Metro Manila, Philippines",1 bedroom,1 bathroom,Condo,Two Central,For Sale,,,,62 sqm,30,Fully furnished,https://www.lamudi.com.ph/projects/two-central/,"2 days, 3 hours ago",Best Realtor,14.559826,121.018519
"2 Bedroom For Sale in Mayfair Mansion, Legazpi Village, Makati City","₱ 25,500,000","Legazpi Village, Makati","Mayfair Mansion, Legazpi Village, Makati, Metro Manila, Philippines",2 bedrooms,2 bathrooms,Condo,Mayfair Mansion,For Sale,,1,,129 sqm,,,https://www.lamudi.com.ph/projects/mayfair-mansion/,"2 days, 4 hours ago",Malou Suerte,14.5544863,121.0202593
"Studio For Sale in The Venice Luxury Residences, Taguig City","₱ 10,000,000","McKinley Hill, Taguig","The Venice Luxury Residences, McKinley Hill, Taguig, Metro Manila, Philippines",,1 bathroom,Studio,The Venice Luxury Residences,For Sale,,,,41 sqm,,Fully furnished,https://www.lamudi.com.ph/projects/the-venice-luxury-residences/,"2 days, 4 hours ago",Malou Suerte,14.5331906,121.0507124
"THE ORIANA RESIDENCES - 2BR PRE-SELLING for sale in Chino Roces Avenue, Makati City / CORNER UNIT FACING ANTIPOLO","₱ 9,246,000","Marilag, Quezon City","The Oriana, Marilag, Quezon City, Metro Manila, Philippines",2 bedrooms,1 bathroom,Condo,The Oriana,For Sale,2026,,Freehold,70 sqm,50,,https://www.lamudi.com.ph/projects/41032-73-ebd0b000b4bf-ed94-85f5b8e8-b6e7-450c,"2 days, 4 hours ago",Roberto Siriban Jr,14.6283138,121.0684287
"2 Bedroom For Sale in Knightsbridge Residences, Makati City","₱ 15,500,000","Makati, Metro Manila","Knightsbridge Residences, Makati, Metro Manila, Metro Manila, Philippines",2 bedrooms,2 bathrooms,Condo,Knightsbridge Residences,For Sale,,1,,60 sqm,,Partly furnished,https://www.lamudi.com.ph/projects/knightsbridge-residences/,"2 days, 4 hours ago",The Infinity Realty Inc.,14.5672255,121.0277382
