title,price,location,full_address,bedrooms,bathrooms,property_type,project_name,offer_type,construction_year,parking_spaces,ownership_type,floor_area,floor,condition,project_link,publish_date,publish_by,latitude,longitude
BGC 1-Bedroom Unit near St. Lukes For Sale in Taguig City,"₱ 27,000,000","Fort Bonifacio, Taguig","Park East Place, Fort Bonifacio, Taguig, Metro Manila, Philippines",1 bedroom,1 bathroom,Condo,Park East Place,For Sale,,,,67 sqm,0,Unfurnished,https://www.lamudi.com.ph/projects/park-east-place/,"2 weeks, 3 days ago",Alveo Land Corp.,14.5534817,121.0519921
Studio at Parklinks – 33 sqm Makati City,"₱ 14,000,000","Ugong Norte, Quezon City","The Lattice at Parklinks, Ugong Norte, Quezon City, Metro Manila, Philippines",1 bedroom,1 bathroom,Studio,The Lattice at Parklinks,For Sale,,,,33 sqm,,Unfurnished,https://www.lamudi.com.ph/projects/the-lattice-at-parklinks/,"2 weeks, 3 days ago",Alveo Land Corp.,14.5983022,121.0843165
Studio Unit near Cloverleaf Ayala Malls For Sale in Quezon City,"₱ 12,000,000","Balintawak, Caloocan","Sentrove at Cloverleaf, Balintawak, Caloocan, Metro Manila, Philippines",1 bedroom,1 bathroom,Condo,Sentrove at Cloverleaf,For Sale,,,,32 sqm,0,Unfurnished,https://www.lamudi.com.ph/projects/sentrove/,"2 weeks, 3 days ago",Alveo Land Corp.,14.6550249,121.0018197
2 Bedroom in Makati near Legazpi Parkside for Sale,"₱ 45,093,510","Legazpi Village, Makati","Parkford Suites Legazpi, Legazpi Village, Makati, Metro Manila, Philippines",2 bedrooms,2 bathrooms,Condo,Parkford Suites Legazpi,For Sale,,,,126 sqm,,Unfurnished,https://www.lamudi.com.ph/projects/parkford-suites-legazpi/,"2 weeks, 3 days ago",Alveo Land Corp.,14.55365,121.0162026
Pasig-Ortigas 2-Bedroom Unit for Sale 86 sqm Unit,"₱ 21,000,000","Capitol Subdivision, Pasig","Portico, Capitol Subdivision, Pasig, Metro Manila, Philippines",2 bedrooms,2 bathrooms,Condo,Portico,For Sale,,,,86 sqm,0,Unfurnished,https://www.lamudi.com.ph/projects/portico/,"2 weeks, 3 days ago",Alveo Land Corp.,14.5746295,121.0654341
33 sqm Studio with Balcony Unit for Sale in Makati,"₱ 11,100,000","Makati, Metro Manila","Astela at Circuit Makati, Makati, Metro Manila, Metro Manila, Philippines",1 bedroom,1 bathroom,Studio,Astela at Circuit Makati,For Sale,,,,33 sqm,0,Unfurnished,https://www.lamudi.com.ph/projects/astela-at-circuit-makati/,"2 weeks, 3 days ago",Alveo Land Corp.,14.5741998,121.0203371
Pet friendly 61 sqm Condo Unit For Sale in Las Piñas City,"₱ 18,000,000","Ayala Alabang, Muntinlupa","Nuveo at Cerca, Ayala Alabang, Muntinlupa, Metro Manila, Philippines",1 bedroom,1 bathroom,Condo,Nuveo at Cerca,For Sale,,,,61 sqm,0,Unfurnished,https://www.lamudi.com.ph/projects/nuveo-at-cerca/,"2 weeks, 3 days ago",Alveo Land Corp.,14.4263024,121.0208091
Airbnb 106 sqm Unit in Poblacion Makati For Sale,"₱ 28,000,000","Makati, Metro Manila","Mergent Residences, Makati, Metro Manila, Metro Manila, Philippines",2 bedrooms,2 bathrooms,Condo,Mergent Residences,For Sale,,,,106 sqm,,Unfurnished,https://www.lamudi.com.ph/projects/mergent-residences/,"2 weeks, 3 days ago",Alveo Land Corp.,14.5666523,121.0292711
"2-BR Condo Unit for Sale at Bonifacio Ridge, Taguig City","₱ 31,500,000","Fort Bonifacio, Taguig","Bonifacio Ridge, Fort Bonifacio, Taguig, Metro Manila, Philippines",2 bedrooms,1 bathroom,Condo,Bonifacio Ridge,For Sale,,,,113 sqm,,Fully furnished,https://www.lamudi.com.ph/projects/bonifacio-ridge/,"2 weeks, 3 days ago",Realus Realtors,14.5536946,121.0432419
"2-Bedroom Condo Unit for Sale at Fairway Terraces, Pasay City","₱ 10,980,000","Pasay, Metro Manila","Fairway Terraces, Pasay, Metro Manila, Metro Manila, Philippines",2 bedrooms,1 bathroom,Condo,Fairway Terraces,For Sale,,1,,56 sqm,,Fully furnished,https://www.lamudi.com.ph/projects/fairway-terraces/,"2 weeks, 3 days ago",Realus Realtors,14.5254642,121.024333
3BR Condo Unit For Sale at Three Central condominium Valero st. Makati,"₱ 27,000,000","Bel-Air, Makati","Three Central, Bel-Air, Makati, Metro Manila, Philippines",3 bedrooms,2 bathrooms,Condotel,Three Central,For Sale,,1,,122 sqm,,Fully furnished,https://www.lamudi.com.ph/projects/three-central/,"2 weeks, 3 days ago",Realus Realtors,14.5602848,121.0177549
"3BR Condominium unit for Sale at Two Roxas Triangle, Makati City","₱ 150,000,000","Urdaneta, Makati","Two Roxas Triangle, Urdaneta, Makati, Metro Manila, Philippines",3 bedrooms,4 bathrooms,Condotel,Two Roxas Triangle,For Sale,,3,,302 sqm,,Fully furnished,https://www.lamudi.com.ph/projects/two-roxas-triangle/,"2 weeks, 3 days ago",Realus Realtors,14.5601858,121.0282213
"3BR Condo Unit for Sale at The Residences at Greenbelt Laguna Tower, Makati City","₱ 57,000,000","Legazpi Village, Makati","The Residences at Greenbelt, Legazpi Village, Makati, Metro Manila, Philippines",3 bedrooms,2 bathrooms,Condo,The Residences at Greenbelt,For Sale,,,,187 sqm,,Fully furnished,https://www.lamudi.com.ph/projects/the-residences-at-greenbelt/,"2 weeks, 3 days ago",Realus Realtors,14.5510509,121.0200829
"TRION TOWERS T1: 2BR For Sale, 61.6 sqm, Furnished, facing Civic Park, greeneries, 1 parking, P12M. GREAT DEAL!!","₱ 12,000,000","Fort Bonifacio, Taguig","The Trion Towers I, Fort Bonifacio, Taguig, Metro Manila, Philippines",2 bedrooms,3 bathrooms,Condo,The Trion Towers I,For Sale,,1,,61 sqm,,Fully furnished,https://www.lamudi.com.ph/projects/41032-73-86c69a008a5f-6834-5b4241eb-8560-4092,"2 weeks, 3 days ago",Glenda Joyce Tanlimco,14.5460967,121.0495991
For Sale Condo in Pasay City near De La Salle University Manila Ready for Occupancy,"₱ 3,200,000","San Isidro, Pasay","Quantum Residences, San Isidro, Pasay, Metro Manila, Philippines",,1 bathroom,Condo,Quantum Residences,For Sale,,,Freehold,21 sqm,11,Unfurnished,https://www.lamudi.com.ph/projects/quantum-residences/,"2 weeks, 3 days ago",Property by Jeann & Ruffa,14.5527891,120.9980211
