project_name,location,location_map,location_match,location_corrected
Antel Spa Residences,"Makati, Metro Manila","Bangkal, Makati, Metro Manila",TRUE,
Laureano di Trevi Towers,"Makati, Metro Manila","Bangkal, Makati, Metro Manila",TRUE,
BSA Tower,"Makati, Metro Manila","Bangkal, Makati, Metro Manila",TRUE,
Manansala Tower,"Makati, Metro Manila","Bangkal, Makati, Metro Manila",TRUE,
Avida Towers San Lorenzo,"Makati, Metro Manila","Bangkal, Makati, Metro Manila",TRUE,
One Central Makati,"Makati, Metro Manila","Bangkal, Makati, Metro Manila",TRUE,
Amorsolo Square,"Makati, Metro Manila","Rockwell, Makati, Metro Manila",TRUE,
One Rockwell,"Makati, Metro Manila","Rockwell, Makati, Metro Manila",TRUE,
The Columns At Legaspi Village,"Makati, Metro Manila","San Lorenzo, Makati, Metro Manila",TRUE,
The Beacon,"Makati, Metro Manila","Bangkal, Makati, Metro Manila",TRUE,
Palmetto Place,"Makati, Metro Manila","Bangkal, Makati, Metro Manila",TRUE,
Fairway Tarraces,"Pasay, Metro Manila","Tugatog, Malabon, Metro Manila",FALSE,"Villamor Airbase, Pasay, Metro Manila"
Fortune Hill,"San Juan, Metro Manila","Addition Hills, San Juan, Metro Manila",TRUE,
South Insula,"Quezon City, Metro Manila","Sacred Heart, Quezon City, Metro Manila",TRUE,
The Salcedo Park Condominum,"Makati, Metro Manila","Bel-Air, Makati, Metro Manila",TRUE,
Asia Enclaves,"Muntinlupa, Metro Manila","Alabang, Muntinlupa, Metro Manila",TRUE,
Solano Hills,"Muntinlupa, Metro Manila","Alabang, Muntinlupa, Metro Manila",TRUE,
Arezzo Place,"Pasig, Metro Manila","Bagong Ilog, Pasig, Metro Manila",TRUE,
ETON EMERALD LOFTS,"Pasig, Metro Manila","San Antonio, Pasig, Metro Manila",TRUE,
BELTON PLACE,"Makati, Metro Manila","Bangkal, Makati, Metro Manila",TRUE,
Eton Parkview Greenbelt,"Makati, Metro Manila","Bangkal, Makati, Metro Manila",TRUE,
8 ADRIATICO,"Manila, Metro Manila","Malate, Manila, Metro Manila",TRUE,
One Archers Place,"Manila, Metro Manila","Malate, Manila, Metro Manila",TRUE,
Eton Baypark Manila,"Manila, Metro Manila","Tondo, Manila, Metro Manila",TRUE,
Acqua Living Stone,"Mandaluyong, Metro Manila","Hulo, Mandaluyong, Metro Manila",TRUE,
Aqua Iguazu,"Mandaluyong, Metro Manila","Addition Hills, Mandaluyong, Metro Manila",TRUE,
Century Spire Makati,"Makati, Metro Manila","Poblacion, Makati, Metro Manila",TRUE,
Penthouse Unit in Acqua Livingstone,"Makati, Metro Manila","Hulo, Mandaluyong, Metro Manila",FALSE,"Mandaluyong, Metro Manila"
Suntrust Shanata,"Quezon City, Metro Manila","Talipapa, Quezon City, Metro Manila",TRUE,
SUNTRUST AMADEA,"Quezon City, Metro Manila","Paligsahan, Quezon City, Metro Manila",TRUE,
Suntrust Capitol Plaza,"Quezon City, Metro Manila","Central, Quezon City, Metro Manila",TRUE,
AURORA GARDENS,"Mandaluyong, Metro Manila","Addition Hills, Mandaluyong, Metro Manila",TRUE,
Suntrust Asmara,"Quezon City, Metro Manila","Damayang Lagi, Quezon City, Metro Manila",TRUE,
KIRANA,"Pasig, Metro Manila","Bagong Ilog, Pasig, Metro Manila",TRUE,
SUNTRUST TREETOP VILLAS,"Mandaluyong, Metro Manila","Hulo, Mandaluyong, Metro Manila",TRUE,
Suntrust Solana,"Manila, Metro Manila","Ermita, Manila, Metro Manila",TRUE,
SUNTRUST ASCENTIA,"Manila, Metro Manila","Santa Ana, Manila, Metro Manila",TRUE,
SUNTRUST ADRIATICO GARDENS,"Manila, Metro Manila","Malate, Manila, Metro Manila",TRUE,
The Rise Makati,"Makati, Metro Manila","San Antonio, Makati, Metro Manila",TRUE,
One Shangrila Place,"Mandaluyong, Metro Manila","Metro Manila, Mandaluyong",FALSE,"Ortigas Center, Mandaluyong, Metro Manila"
AMA TOWER RESIDENCES,"Mandaluyong, Metro Manila","Wack-Wack Greenhills, Mandaluyong, Metro Manila",TRUE,
Victoria de Manila,"Manila, Metro Manila","Malate, Manila, Metro Manila",TRUE,
The A.Venue Suites,"Makati, Metro Manila","Bangkal, Makati, Metro Manila",TRUE,
Antel Spa Suites,"Makati, Metro Manila","Poblacion, Makati, Metro Manila",TRUE,
Serenity Suites,"Makati, Metro Manila","Poblacion, Makati, Metro Manila",TRUE,
Skyway Twin Towers,"Pasig, Metro Manila","Oranbo, Pasig, Metro Manila",TRUE,
My Place at South Triangle,"Quezon City, Metro Manila","South Triangle, Quezon City, Metro Manila",TRUE,
My Place at Ortigas,"Pasig, Metro Manila","Ugong, Pasig, Metro Manila",TRUE,
Chateau Elysee,"Parañaque, Metro Manila","Don Bosco, Parañaque, Metro Manila",TRUE,
Berkeley Residences,"Quezon City, Metro Manila","Loyola Heights, Quezon City, Metro Manila",TRUE,
Juez Residences,"Malabon, Metro Manila","Maysilo, Malabon, Metro Manila",TRUE,
Space Taft,"Manila, Metro Manila","Malate, Manila, Metro Manila",TRUE,
Zitan,"Mandaluyong, Metro Manila","Addition Hills, Mandaluyong, Metro Manila",TRUE,
Twin Oaks Place,"Mandaluyong, Metro Manila","Wack-Wack Greenhills, Mandaluyong, Metro Manila",TRUE,
San Lorenzo Place,"Makati, Metro Manila","Bangkal, Makati, Metro Manila",TRUE,
The Rochester,"Pasig, Metro Manila","San Joaquin, Pasig, Metro Manila",TRUE,
Victoria de Morato,"Quezon City, Metro Manila","Ramon Magsaysay, Quezon City, Metro Manila",TRUE,
Victoria de Malate,"Manila, Metro Manila","Malate, Manila, Metro Manila",TRUE,
Isabelle de Valenzuela,"Valenzuela, Metro Manila","Isla, Valenzuela, Metro Manila",TRUE,
Victoria Sports Tower,"Quezon City, Metro Manila","South Triangle, Quezon City, Metro Manila",TRUE,
Victoria de Makati,"Makati, Metro Manila","Pio Del Pilar, Makati, Metro Manila",TRUE,
Fort Victoria,"Taguig, Metro Manila","BGC, Taguig, Metro Manila",TRUE,
Victoria Towers,"Quezon City, Metro Manila","Paligsahan, Quezon City, Metro Manila",TRUE,
Little Baguio Terraces,"San Juan, Metro Manila","Ermitaño, San Juan, Metro Manila",TRUE,
Pioneer Woodlands,"Mandaluyong, Metro Manila","Barangka Ilaya, Mandaluyong, Metro Manila",TRUE,
Kasara,"Pasig, Metro Manila","Ugong, Pasig, Metro Manila",TRUE,
Vivaldi Residences - Cubao,"Quezon City, Metro Manila","Socorro, Quezon City, Metro Manila",TRUE,
Siena Park Residences,"Parañaque, Metro Manila","Sun Valley, Parañaque, Metro Manila",TRUE,
Milan Residenze,"Quezon City, Metro Manila","Bagbag, Quezon City, Metro Manila",TRUE,
Maricielo Villas,"Las Piñas, Metro Manila","Pulang Lupa Uno, Las Piñas, Metro Manila",TRUE,
Levina Place,"Pasig, Metro Manila","Rosario, Pasig, Metro Manila",TRUE,
Arista Place,"Parañaque, Metro Manila","Santo Niño, Parañaque, Metro Manila",TRUE,
