project_name,location,full_address,latitude,longitude
150 Newport BLVD,"Barangay 183, Pasay, Metro Manila","150 Newport BLVD, Barangay 183, Pasay, Metro Manila, Philippines",14.5238317,121.0134284
81 Newport BLVD,"Barangay 183, Pasay, Metro Manila","81 Newport BLVD, Barangay 183, Pasay, Metro Manila, Philippines",14.522868,121.0137567
The Palm Tree 2,"Malate, Manila, Metro Manila","The Palm Tree 2, Malate, Manila, Metro Manila, Philippines",14.5578821,120.9892453
Greenbelt Hamilton Tower 2,"San Lorenzo, Makati, Metro Manila","Greenbelt Hamilton Tower 2, San Lorenzo, Makati, Metro Manila, Philippines",14.5560862,121.0162585
The Palm Tree,"Barangay 183, Pasay, Metro Manila","The Palm Tree, Barangay 183, Pasay, Metro Manila, Philippines",14.5214542,121.0153525
Paseo Heights,"Urdaneta, Makati, Metro Manila","Paseo Heights, Urdaneta, Makati, Metro Manila, Philippines",14.5588397,121.0278566
Salcedo Skysuites,"Bel-Air, Makati, Metro Manila","Salcedo Skysuites, Bel-Air, Makati, Metro Manila, Philippines",14.56153,121.0233661
Three Central,"Bel-Air, Makati, Metro Manila","Three Central, Bel-Air, Makati, Metro Manila, Philippines",14.5602848,121.0177549
Viceroy,"Bagong Tanyag, Taguig, Metro Manila","Viceroy, Bagong Tanyag, Taguig, Metro Manila, Philippines",14.4773218,121.0485599
The Florence,"McKinley Hill, Taguig, Metro Manila","The Florence, McKinley Hill, Taguig, Metro Manila, Philippines",14.5332986,121.0494297
Uptown Parksuites,"BGC, Taguig, Metro Manila","Uptown Parksuites, BGC, Taguig, Metro Manila, Philippines",14.5583103,121.0532179
Avida Towers One Union Place,"Metro Manila, Taguig, Western Bicutan","Avida Towers One Union Place, Metro Manila, Taguig, Western Bicutan, Philippines",14.5029325,121.0476261
The Venice,"Bagong Tanyag, Taguig, Metro Manila","The Venice, Bagong Tanyag, Taguig, Metro Manila, Philippines",14.5335431,121.0498228
