project_name,location,full_address,latitude,longitude
Arya Residences Tower 1,"BGC, Taguig, Metro Manila","Arya Residences Tower 1, BGC, Taguig, Metro Manila, Philippines",14.5462694,121.0486863
The Linear,"San Antonio, Makati, Metro Manila","The Linear, San Antonio, Makati, Metro Manila, Philippines",14.5600321,121.0102708
The Levels,"Alabang, Muntinlupa, Metro Manila","The Levels, Alabang, Muntinlupa, Metro Manila, Philippines",14.4200106,121.033259
Studio City,"Alabang, Muntinlupa, Metro Manila","Studio City, Alabang, Muntinlupa, Metro Manila, Philippines",14.4244279,121.0342185
One Sierra,"Highway Hills, Mandaluyong, Metro Manila","One Sierra, Highway Hills, Mandaluyong, Metro Manila, Philippines",14.5783864,121.0511259
The Hermosa,"Pulang Lupa Uno, Las Piñas, Metro Manila","The Hermosa, Pulang Lupa Uno, Las Piñas, Metro Manila, Philippines",14.4702033,120.9824634
Sands Residences,"Malate, Manila, Metro Manila","Sands Residences, Malate, Manila, Metro Manila, Philippines",14.5704594,120.982944
Mint Residences,"Urdaneta, Makati, Metro Manila","Mint Residences, Urdaneta, Makati, Metro Manila, Philippines",14.5557562,121.0292097
Pine Crest Towers,"Pasong Tamo, Quezon City, Metro Manila","Pine Crest Towers, Pasong Tamo, Quezon City, Metro Manila, Philippines",14.6732284,121.0450783
Torre Lorenzo Malate,"Malate, Manila, Metro Manila","Torre Lorenzo Malate, Malate, Manila, Metro Manila, Philippines",14.5739488,120.9876305
Torre Lorenzo Loyola,"Loyola Heights, Quezon City, Metro Manila","Torre Lorenzo Loyola, Loyola Heights, Quezon City, Metro Manila, Philippines",14.6365021,121.0736909
3Torre Lorenzo,"Malate, Manila, Metro Manila","3Torre Lorenzo, Malate, Manila, Metro Manila, Philippines",14.5638263,120.9979774
South 2 Residences,"Almanza Uno, Las Piñas, Metro Manila","South 2 Residences, Almanza Uno, Las Piñas, Metro Manila, Philippines",14.4344096,121.0092279
Acacia Escalades,"Manggahan, Pasig, Metro Manila","Acacia Escalades, Manggahan, Pasig, Metro Manila, Philippines",14.6052209,121.091448
The Radiance Manila Bay – North Tower,"Barangay 2, Pasay, Metro Manila","The Radiance Manila Bay – North Tower, Barangay 2, Pasay, Metro Manila, Philippines",14.5577652,120.9886078
"The Magnolia residences – Tower A, B, and C","Kaunlaran, Quezon City, Metro Manila","The Magnolia residences – Tower A, B, and C, Kaunlaran, Quezon City, Metro Manila, Philippines",14.6902456,121.0856684
The Magnolia residences – Tower D,"Kaunlaran, Quezon City, Metro Manila","The Magnolia residences – Tower D, Kaunlaran, Quezon City, Metro Manila, Philippines",14.6133616,121.0387877
The Radiance Manila Bay – South Tower,"Barangay 2, Pasay, Metro Manila","The Radiance Manila Bay – South Tower, Barangay 2, Pasay, Metro Manila, Philippines",14.5577652,120.9886078
The Sapphire Bloc – East Tower,"San Antonio, Pasig, Metro Manila","The Sapphire Bloc – East Tower, San Antonio, Pasig, Metro Manila, Philippines",14.5876781,121.0625095
Acacia Escalades – Building B,"Manggahan, Pasig, Metro Manila","Acacia Escalades – Building B, Manggahan, Pasig, Metro Manila, Philippines",14.6052209,121.091448
Gem Residences,"Ugong, Pasig, Metro Manila","Gem Residences, Ugong, Pasig, Metro Manila, Philippines",14.5815288,121.0763385
Viento at Cerca,"Almanza Dos, Las Piñas, Metro Manila","Viento at Cerca, Almanza Dos, Las Piñas, Metro Manila, Philippines",14.4251214,121.0222084
Parkford Suites Legazpi,"San Lorenzo, Makati, Metro Manila","Parkford Suites Legazpi, San Lorenzo, Makati, Metro Manila, Philippines",14.55365,121.0162026
Park Cascades at Arca South,"Western Bicutan, Taguig, Metro Manila","Park Cascades at Arca South, Western Bicutan, Taguig, Metro Manila, Philippines",14.5061105,121.0476459
Orean Place at Vertis North,"Bagong Pag-Asa, Quezon City, Metro Manila","Orean Place at Vertis North, Bagong Pag-Asa, Quezon City, Metro Manila, Philippines",14.6483867,121.039251
The Spectrum,"Wack-Wack Greenhills, Mandaluyong, Metro Manila","The Spectrum, Wack-Wack Greenhills, Mandaluyong, Metro Manila, Philippines",14.5922687,121.0535762
MidPark Towers,"Baclaran, Parañaque, Metro Manila","MidPark Towers, Baclaran, Parañaque, Metro Manila, Philippines",14.5264375,120.9889375
The Arton,"Loyola Heights, Quezon City, Metro Manila","The Arton, Loyola Heights, Quezon City, Metro Manila, Philippines",14.6317311,121.0749915
Avida Towers Verge,"Highway Hills, Mandaluyong, Metro Manila","Avida Towers Verge, Highway Hills, Mandaluyong, Metro Manila, Philippines",14.5764212,121.052084
La Vie Flats,"Alabang, Muntinlupa, Metro Manila","La Vie Flats, Alabang, Muntinlupa, Metro Manila, Philippines",14.4131293,121.0361529
Hawthorne Heights,"Loyola Heights, Quezon City, Metro Manila","Hawthorne Heights, Loyola Heights, Quezon City, Metro Manila, Philippines",14.6329749,121.0739748
Shore 3 Residences,"Barangay 76, Pasay, Metro Manila","Shore 3 Residences, Barangay 76, Pasay, Metro Manila, Philippines",14.5387887,120.9858516
S Residences,"Barangay 76, Pasay, Metro Manila","S Residences, Barangay 76, Pasay, Metro Manila, Philippines",14.5331923,120.9880459
Mergent Residences,"Poblacion, Makati, Metro Manila","Mergent Residences, Poblacion, Makati, Metro Manila, Philippines",14.5666523,121.0292711
The Lattice at Parklinks,"Ugong Norte, Quezon City, Metro Manila","The Lattice at Parklinks, Ugong Norte, Quezon City, Metro Manila, Philippines",14.5983022,121.0843165
Avida Towers Cloverleaf,"Balingasa, Quezon City, Metro Manila","Avida Towers Cloverleaf, Balingasa, Quezon City, Metro Manila, Philippines",14.6541676,121.0015387
Arbor Lanes,"Western Bicutan, Taguig, Metro Manila","Arbor Lanes, Western Bicutan, Taguig, Metro Manila, Philippines",14.5066222,121.0497643
Callisto 2,"Carmona, Makati, Metro Manila","Callisto 2, Carmona, Makati, Metro Manila, Philippines",14.575159,121.018862
Garden Court,"Western Bicutan, Taguig, Metro Manila","Garden Court, Western Bicutan, Taguig, Metro Manila, Philippines",14.5031979,121.0462364
Portico,"Oranbo, Pasig, Metro Manila","Portico, Oranbo, Pasig, Metro Manila, Philippines",14.5746295,121.0654341
Sentrove at Cloverleaf,"Balingasa, Quezon City, Metro Manila","Sentrove at Cloverleaf, Balingasa, Quezon City, Metro Manila, Philippines",14.6550249,121.0018197
Palm Beach West,"Barangay 76, Pasay, Metro Manila","Palm Beach West, Barangay 76, Pasay, Metro Manila, Philippines",14.5429196,120.9890313
Copeton Baysuites,"Tambo, Parañaque, Metro Manila","Copeton Baysuites, Tambo, Parañaque, Metro Manila, Philippines",14.521631,120.991287
Light 2 Residences,"Barangka Ilaya, Mandaluyong, Metro Manila","Light 2 Residences, Barangka Ilaya, Mandaluyong, Metro Manila, Philippines",14.5741834,121.0497429
Gold Residences,"Santo Niño, Parañaque, Metro Manila","Gold Residences, Santo Niño, Parañaque, Metro Manila, Philippines",14.5056016,121.0002073
South Beach Place,"Tambo, Parañaque, Metro Manila","South Beach Place, Tambo, Parañaque, Metro Manila, Philippines",14.51677,120.9856363
Cirrus,"Manggahan, Pasig, Metro Manila","Cirrus, Manggahan, Pasig, Metro Manila, Philippines",14.5961454,121.0845987
Verde Spatial,"Commonwealth, Quezon City, Metro Manila","Verde Spatial, Commonwealth, Quezon City, Metro Manila, Philippines",14.7044095,121.0841167
Santorini at The Lakefront,"Sucat, Muntinlupa, Metro Manila","Santorini at The Lakefront, Sucat, Muntinlupa, Metro Manila, Philippines",36.3931562,25.4615092
Glam Residences,"South Triangle, Quezon City, Metro Manila","Glam Residences, South Triangle, Quezon City, Metro Manila, Philippines",14.634881,121.0423566
Sail Residences,"Barangay 76, Pasay, Metro Manila","Sail Residences, Barangay 76, Pasay, Metro Manila, Philippines",14.5374356,120.9860624
Leaf Residences,"Tunasan, Muntinlupa, Metro Manila","Leaf Residences, Tunasan, Muntinlupa, Metro Manila, Philippines",14.3862353,121.0448553
Bloom Residences,"San Antonio, Parañaque, Metro Manila","Bloom Residences, San Antonio, Parañaque, Metro Manila, Philippines",14.4555862,121.0395104
The Larsen Tower at East Bay Residences,"Sucat, Muntinlupa, Metro Manila","The Larsen Tower at East Bay Residences, Sucat, Muntinlupa, Metro Manila, Philippines",14.4483094,121.0474974
Activa Flex,"E. Rodriguez, Quezon City, Metro Manila","Activa Flex, E. Rodriguez, Quezon City, Metro Manila, Philippines",14.6219203,121.0503379
The Royalton at Capitol Commons,"Oranbo, Pasig, Metro Manila","The Royalton at Capitol Commons, Oranbo, Pasig, Metro Manila, Philippines",14.5761087,121.064739
Maple at Verdant Towers,"Ugong, Pasig, Metro Manila","Maple at Verdant Towers, Ugong, Pasig, Metro Manila, Philippines",14.5880008,121.076828
Red Residences,"Pio Del Pilar, Makati, Metro Manila","Red Residences, Pio Del Pilar, Makati, Metro Manila, Philippines",14.5559583,121.0135744
Lush Residences,"San Antonio, Makati, Metro Manila","Lush Residences, San Antonio, Makati, Metro Manila, Philippines",14.5636922,121.0151551
Vine Residences,"San Bartolome, Quezon City, Metro Manila","Vine Residences, San Bartolome, Quezon City, Metro Manila, Philippines",14.7090139,121.0356568
Satori Residences,"Santolan, Pasig, Metro Manila","Satori Residences, Santolan, Pasig, Metro Manila, Philippines",14.6173391,121.0862841
The Atherton,"San Antonio, Parañaque, Metro Manila","The Atherton, San Antonio, Parañaque, Metro Manila, Philippines",14.4629718,121.0254089
The Imperium at Capitol Commons,"Oranbo, Pasig, Metro Manila","The Imperium at Capitol Commons, Oranbo, Pasig, Metro Manila, Philippines",14.5757132,121.0642542
The Connor at Greenhhills,"Little Baguio, San Juan, Metro Manila","The Connor at Greenhhills, Little Baguio, San Juan, Metro Manila, Philippines",14.6018011,121.0370935
Circulo Verde,"Manggahan, Pasig, Metro Manila","Circulo Verde, Manggahan, Pasig, Metro Manila, Philippines",14.5996884,121.0908209
Studio 7,"South Triangle, Quezon City, Metro Manila","Studio 7, South Triangle, Quezon City, Metro Manila, Philippines",14.6366406,121.0420453
Panglao Oasis,"Pinagsama, Taguig, Metro Manila","Panglao Oasis, Pinagsama, Taguig, Metro Manila, Philippines",14.526548,121.052143
Maven,"Oranbo, Pasig, Metro Manila","Maven, Oranbo, Pasig, Metro Manila, Philippines",14.5760998,121.0650585
The Residences at Commonwealth Quezon City,"Batasan Hills, Quezon City, Metro Manila","The Residences at Commonwealth Quezon City, Batasan Hills, Quezon City, Metro Manila, Philippines",14.6799785,121.0880864
Trump Towers,"Poblacion, Makati, Metro Manila","Trump Towers, Poblacion, Makati, Metro Manila, Philippines",14.5651496,121.0283317
The Milano Residences,"Poblacion, Makati, Metro Manila","The Milano Residences, Poblacion, Makati, Metro Manila, Philippines",14.5670334,121.0273118
Aurora Escalades_,"San Roque, Quezon City, Metro Manila","Aurora Escalades_, San Roque, Quezon City, Metro Manila, Philippines",14.6257227,121.0591982
Fairlane Residences,"Kapitolyo, Pasig, Metro Manila","Fairlane Residences, Kapitolyo, Pasig, Metro Manila, Philippines",14.5695022,121.0556254
12 Luxury Flats,"Little Baguio, San Juan, Metro Manila","12 Luxury Flats, Little Baguio, San Juan, Metro Manila, Philippines",14.5985054,121.0379052
Kai Garden Residences,"Malamig, Mandaluyong, Metro Manila","Kai Garden Residences, Malamig, Mandaluyong, Metro Manila, Philippines",14.5759944,121.044818
Omni Gardens,"Quiapo, Manila, Metro Manila","Omni Gardens, Quiapo, Manila, Metro Manila, Philippines",14.5982686,120.9861981
The Olive Place,"Plainview, Mandaluyong, Metro Manila","The Olive Place, Plainview, Mandaluyong, Metro Manila, Philippines",14.5896087,121.0385789
The Orabella,"Pasong Tamo, Quezon City, Metro Manila","The Orabella, Pasong Tamo, Quezon City, Metro Manila, Philippines",14.6762639,121.0653649
One Eastwood Avenue Tower 2,"Pasong Tamo, Quezon City, Metro Manila","One Eastwood Avenue Tower 2, Pasong Tamo, Quezon City, Metro Manila, Philippines",14.6084673,121.0798941
One Eastwood Avenue Tower 1,"Pasong Tamo, Quezon City, Metro Manila","One Eastwood Avenue Tower 1, Pasong Tamo, Quezon City, Metro Manila, Philippines",14.6077212,121.0791733
Calathea Place,"San Antonio, Parañaque, Metro Manila","Calathea Place, San Antonio, Parañaque, Metro Manila, Philippines",14.4640149,121.0218468
Palm Grove,"Don Bosco, Parañaque, Metro Manila","Palm Grove, Don Bosco, Parañaque, Metro Manila, Philippines",14.4762919,121.0258581
The Residences at The Westin Manila Sonata Place,"Wack-Wack Greenhills, Mandaluyong, Metro Manila","The Residences at The Westin Manila Sonata Place, Wack-Wack Greenhills, Mandaluyong, Metro Manila, Philippines",14.5806015,121.0587451
Sunshine 100 City Plaza,"Buayang Bato, Mandaluyong, Metro Manila","Sunshine 100 City Plaza, Buayang Bato, Mandaluyong, Metro Manila, Philippines",14.5707002,121.0517031
Pacific Plaza Condominium,"Urdaneta, Makati, Metro Manila","Pacific Plaza Condominium, Urdaneta, Makati, Metro Manila, Philippines",14.5523229,121.0280998
Mercedes Residences,"San Miguel, Pasig, Metro Manila","Mercedes Residences, San Miguel, Pasig, Metro Manila, Philippines",14.5681782,121.0873274
SMDC LIGHT RESIDENCE,"Plainview, Mandaluyong, Metro Manila","SMDC LIGHT RESIDENCE, Plainview, Mandaluyong, Metro Manila, Philippines",14.573655,121.0488294
Prisma Residences,"Bagong Ilog, Pasig, Metro Manila","Prisma Residences, Bagong Ilog, Pasig, Metro Manila, Philippines",14.5630678,121.0677929
Bay Area Suites Condominium,"Quiapo, Manila, Metro Manila","Bay Area Suites Condominium, Quiapo, Manila, Metro Manila, Philippines",14.5798826,120.9823331
Oak Harbor Residences,"Don Bosco, Parañaque, Metro Manila","Oak Harbor Residences, Don Bosco, Parañaque, Metro Manila, Philippines",14.4827054,121.0249093
INFINA TOWERS,"Marilag, Quezon City, Metro Manila","INFINA TOWERS, Marilag, Quezon City, Metro Manila, Philippines",14.6282201,121.0674028
LAKEVIEW MANORS,"Ususan, Taguig, Metro Manila","LAKEVIEW MANORS, Ususan, Taguig, Metro Manila, Philippines",14.5367497,121.0699222
Brixton Place,"Kapitolyo, Pasig, Metro Manila","Brixton Place, Kapitolyo, Pasig, Metro Manila, Philippines",14.5691403,121.0555246
THE CELANDINE,"Balingasa, Quezon City, Metro Manila","THE CELANDINE, Balingasa, Quezon City, Metro Manila, Philippines",14.6546166,120.9984237
San francisco Garden Condominium,"Barangka Itaas, Mandaluyong, Metro Manila","San francisco Garden Condominium, Barangka Itaas, Mandaluyong, Metro Manila, Philippines",14.5736996,121.0430598
The Courtyard at the Pacific Residences,"Salawag, Dasmariñas, Cavite","The Courtyard at the Pacific Residences, Salawag, Dasmariñas, Cavite, Philippines",14.3606724,120.9699475
The Currency - Commercial and Office Units for Sale,"San Antonio, Pasig, Metro Manila","The Currency - Commercial and Office Units for Sale, San Antonio, Pasig, Metro Manila, Philippines",14.5845844,121.0620632
Melbourne Residences,"Urdaneta, Makati, Metro Manila","Melbourne Residences, Urdaneta, Makati, Metro Manila, Philippines",14.5553856,121.0008348
The Trion Towers I,"BGC, Taguig, Metro Manila","The Trion Towers I, BGC, Taguig, Metro Manila, Philippines",14.5460967,121.0495991
West Gallery Place,"BGC, Taguig, Metro Manila","West Gallery Place, BGC, Taguig, Metro Manila, Philippines",14.5490434,121.0512806
Park Central Towers,"Urdaneta, Makati, Metro Manila","Park Central Towers, Urdaneta, Makati, Metro Manila, Philippines",14.5586922,121.0266752
Woodsville Viverde Mansions,"Merville, Parañaque, Metro Manila","Woodsville Viverde Mansions, Merville, Parañaque, Metro Manila, Philippines",14.5000737,121.037053
The Fifth Avenue Place,"BGC, Taguig, Metro Manila","The Fifth Avenue Place, BGC, Taguig, Metro Manila, Philippines",14.5490236,121.0469176
Escalades South Metro,"Salapan, San Juan, Metro Manila","Escalades South Metro, Salapan, San Juan, Metro Manila, Philippines",14.6114559,121.0241925
Escalades @20th Avenue,"San Roque, Quezon City, Metro Manila","Escalades @20th Avenue, San Roque, Quezon City, Metro Manila, Philippines",14.6252291,121.0609035
Adriatico Place,"Malate, Manila, Metro Manila","Adriatico Place, Malate, Manila, Metro Manila, Philippines",14.5663115,120.9882828
"Asiana Oasis, Parañaque City","Metro Manila, Parañaque","Asiana Oasis, Parañaque City, Metro Manila, Parañaque, Philippines",14.494569,121.0053597
Chimes Greenhills,"Greenhills, San Juan, Metro Manila","Chimes Greenhills, Greenhills, San Juan, Metro Manila, Philippines",14.6055414,121.0553235
Acacia Escalades,"Manggahan, Pasig, Metro Manila","Acacia Escalades, Manggahan, Pasig, Metro Manila, Philippines",14.6052209,121.091448
Amaia Steps Bicutan 1,"Sun Valley, Parañaque, Metro Manila","Amaia Steps Bicutan 1, Sun Valley, Parañaque, Metro Manila, Philippines",14.493208,121.0413049
Amaia Steps Alabang,"Almanza Dos, Las Piñas, Metro Manila","Amaia Steps Alabang, Almanza Dos, Las Piñas, Metro Manila, Philippines",14.4288088,121.0165043
Amaia Skies Sta. Mesa - South Tower,"Quiapo, Manila, Metro Manila","Amaia Skies Sta. Mesa - South Tower, Quiapo, Manila, Metro Manila, Philippines",14.5976037,121.0189014
Amaia Skies Shaw - North Tower,"Plainview, Mandaluyong, Metro Manila","Amaia Skies Shaw - North Tower, Plainview, Mandaluyong, Metro Manila, Philippines",14.5842409,121.0498496
Amaia Skies Cubao,"Pasong Tamo, Quezon City, Metro Manila","Amaia Skies Cubao, Pasong Tamo, Quezon City, Metro Manila, Philippines",14.6793833,121.0593087
Amaia Skies Avenida - North Tower,"Quiapo, Manila, Metro Manila","Amaia Skies Avenida - North Tower, Quiapo, Manila, Metro Manila, Philippines",14.6049623,120.9814738
High Street South Block,"Pinagsama, Taguig, Metro Manila","High Street South Block, Pinagsama, Taguig, Metro Manila, Philippines",14.548153,121.051054
The Suites at One Bonifacio High Street,"Pinagsama, Taguig, Metro Manila","The Suites at One Bonifacio High Street, Pinagsama, Taguig, Metro Manila, Philippines",14.5513384,121.0457759
One Serendra,"BGC, Taguig, Metro Manila","One Serendra, BGC, Taguig, Metro Manila, Philippines",14.5503762,121.0542753
Avida Towers Vita,"Metro Manila, Quezon City","Avida Towers Vita, Metro Manila, Quezon City, Philippines",14.646806,121.036889
Avida Towers Davao,Metro Manila,"Avida Towers Davao, Metro Manila, Philippines",14.6090537,121.0222565
One Park Drive,"Metro Manila, Taguig","One Park Drive, Metro Manila, Taguig, Philippines",14.5560217,121.0532919
Greenbelt Hamilton 2,"San Lorenzo, Makati, Metro Manila","Greenbelt Hamilton 2, San Lorenzo, Makati, Metro Manila, Philippines",14.5560862,121.0162585
San Antonio Residence,"San Antonio, Makati, Metro Manila","San Antonio Residence, San Antonio, Makati, Metro Manila, Philippines",14.5594895,121.0096865
Tres Palmas,"Bagong Tanyag, Taguig, Metro Manila","Tres Palmas, Bagong Tanyag, Taguig, Metro Manila, Philippines",14.4773218,121.0485599
Axis Residences,"Highway Hills, Mandaluyong, Metro Manila","Axis Residences, Highway Hills, Mandaluyong, Metro Manila, Philippines",14.5815444,121.0479666
Raya Gardens,"Merville, Parañaque, Metro Manila","Raya Gardens, Merville, Parañaque, Metro Manila, Philippines",14.506155,121.0344086
Alphaland Makati Place,"Bangkal, Makati, Metro Manila","Alphaland Makati Place, Bangkal, Makati, Metro Manila, Philippines",14.5459873,121.0137143
Icon Plaza,"BGC, Taguig, Metro Manila","Icon Plaza, BGC, Taguig, Metro Manila, Philippines",14.5481525,121.0478197
symfoni kamias,"Ramon Magsaysay, Quezon City, Metro Manila","symfoni kamias, Ramon Magsaysay, Quezon City, Metro Manila, Philippines",14.659539,121.022759
Manggahan Village,"Bagong Ilog, Pasig, Metro Manila","Manggahan Village, Bagong Ilog, Pasig, Metro Manila, Philippines",14.5653911,121.06934
Fairways Tower,"BGC, Taguig, Metro Manila","Fairways Tower, BGC, Taguig, Metro Manila, Philippines",14.5459012,121.0455423
Solano Hills Sucat,"Alabang, Muntinlupa, Metro Manila","Solano Hills Sucat, Alabang, Muntinlupa, Metro Manila, Philippines",14.4181972,121.0421102
Arezzo Place Pasig,"San Joaquin, Pasig, Metro Manila","Arezzo Place Pasig, San Joaquin, Pasig, Metro Manila, Philippines",14.5512053,121.0779377
ASIA Enclaves Alabang,"Alabang, Muntinlupa, Metro Manila","ASIA Enclaves Alabang, Alabang, Muntinlupa, Metro Manila, Philippines",14.4055591,121.0472066
Flora Vista,"Commonwealth, Quezon City, Metro Manila","Flora Vista, Commonwealth, Quezon City, Metro Manila, Philippines",14.7035541,121.0748509
San Benissa Garden,"Pasong Putik Proper, Quezon City, Metro Manila","San Benissa Garden, Pasong Putik Proper, Quezon City, Metro Manila, Philippines",14.7273969,121.0470276
Spazio Bernardo West Villas,"Gulod, Quezon City, Metro Manila","Spazio Bernardo West Villas, Gulod, Quezon City, Metro Manila, Philippines",14.6567726,121.0302937
Sunny Villas,"Gulod, Quezon City, Metro Manila","Sunny Villas, Gulod, Quezon City, Metro Manila, Philippines",14.7119021,121.0406769
The Forbes Hall,"Manila, Metro Manila","The Forbes Hall, Manila, Metro Manila, Philippines",14.6031246,120.9951858
Shangri-La at The Fort,"Bagong Tanyag, Taguig, Metro Manila","Shangri-La at The Fort, Bagong Tanyag, Taguig, Metro Manila, Philippines",14.5524816,121.0468063
BRESCIA RESIDENCES,"Pasong Tamo, Quezon City, Metro Manila","BRESCIA RESIDENCES, Pasong Tamo, Quezon City, Metro Manila, Philippines",14.6770359,121.0471118
PINE CREST,"Mariana, Quezon City, Metro Manila","PINE CREST, Mariana, Quezon City, Metro Manila, Philippines",14.6158389,121.0388275
PRESIDIO AT LAKEFRONT,"Sucat, Muntinlupa, Metro Manila","PRESIDIO AT LAKEFRONT, Sucat, Muntinlupa, Metro Manila, Philippines",14.4668198,121.0542929
Sonria,"Alabang, Muntinlupa, Metro Manila","Sonria, Alabang, Muntinlupa, Metro Manila, Philippines",14.4259315,121.0264736
The Bellagio 2,"Pinagsama, Taguig, Metro Manila","The Bellagio 2, Pinagsama, Taguig, Metro Manila, Philippines",14.5520565,121.0436429
Mckinley West Village,"Pinagsama, Taguig, Metro Manila","Mckinley West Village, Pinagsama, Taguig, Metro Manila, Philippines",14.5384013,121.0456664
The Avenue Residences,"Talipapa, Quezon City, Metro Manila","The Avenue Residences, Talipapa, Quezon City, Metro Manila, Philippines",14.6816732,121.0180545
1322 Golden Empire Tower,"Ermita, Manila, Metro Manila","1322 Golden Empire Tower, Ermita, Manila, Metro Manila, Philippines",14.5764256,120.9801932
Moldex Residences Valenzuela,"Paso de Blas, Valenzuela, Metro Manila","Moldex Residences Valenzuela, Paso de Blas, Valenzuela, Metro Manila, Philippines",14.7047464,120.9887325
The Grand Towers Manila,"Malate, Manila, Metro Manila","The Grand Towers Manila, Malate, Manila, Metro Manila, Philippines",14.5617838,120.9945493
One Shangri-La Place,"Wack-Wack Greenhills, Mandaluyong, Metro Manila","One Shangri-La Place, Wack-Wack Greenhills, Mandaluyong, Metro Manila, Philippines",14.5820522,121.0557985
The Saint Francis Shangri-la Place,"Highway Hills, Mandaluyong, Metro Manila","The Saint Francis Shangri-la Place, Highway Hills, Mandaluyong, Metro Manila, Philippines",,
Shang Salcedo Place,"Bel-Air, Makati, Metro Manila","Shang Salcedo Place, Bel-Air, Makati, Metro Manila, Philippines",14.5614505,121.020393
The Rise Makati By Shangrila,"San Antonio, Makati, Metro Manila","The Rise Makati By Shangrila, San Antonio, Makati, Metro Manila, Philippines",14.5622312,121.0133797
Hacienda Balai,"Barangay 177, Quezon City, Metro Manila","Hacienda Balai, Barangay 177, Quezon City, Metro Manila, Philippines",14.7432528,121.0492003
La Nobleza Terrazas,"Malate, Manila, Metro Manila","La Nobleza Terrazas, Malate, Manila, Metro Manila, Philippines",14.5746557,120.9823443
The TREVI TOWERS,"Tugatog, Malabon, Metro Manila","The TREVI TOWERS, Tugatog, Malabon, Metro Manila, Philippines",14.6629184,120.9689892
The Manila Residences,"Malate, Manila, Metro Manila","The Manila Residences, Malate, Manila, Metro Manila, Philippines",14.566764,120.9935709
dakotaresidences,"Tugatog, Malabon, Metro Manila","dakotaresidences, Tugatog, Malabon, Metro Manila, Philippines",14.6629184,120.9689892
Madison Park West,"Pinagsama, Taguig, Metro Manila","Madison Park West, Pinagsama, Taguig, Metro Manila, Philippines",14.5583633,121.0512055
East of Galleria,"San Antonio, Pasig, Metro Manila","East of Galleria, San Antonio, Pasig, Metro Manila, Philippines",14.5884375,121.0606114
Shore 2 Residences,"Malate, Manila, Metro Manila","Shore 2 Residences, Malate, Manila, Metro Manila, Philippines",14.5405606,120.9863802
The Royalton,"Oranbo, Pasig, Metro Manila","The Royalton, Oranbo, Pasig, Metro Manila, Philippines",14.5761087,121.064739
Majorca Tower,"Ramon Magsaysay, Quezon City, Metro Manila","Majorca Tower, Ramon Magsaysay, Quezon City, Metro Manila, Philippines",14.659539,121.022759
Avila at Circulo Verde,"Bagumbayan, Quezon City, Metro Manila","Avila at Circulo Verde, Bagumbayan, Quezon City, Metro Manila, Philippines",14.6023077,121.0878371
Lleida Tower,"Bagumbayan, Quezon City, Metro Manila","Lleida Tower, Bagumbayan, Quezon City, Metro Manila, Philippines",14.6022545,121.0883293
Seville Residences,"Bagumbayan, Quezon City, Metro Manila","Seville Residences, Bagumbayan, Quezon City, Metro Manila, Philippines",14.6029161,121.0888117
Ibiza at Circulo Verde,"Manggahan, Pasig, Metro Manila","Ibiza at Circulo Verde, Manggahan, Pasig, Metro Manila, Philippines",14.6023077,121.0878371
Vinia Residences,"Phil-Am, Quezon City, Metro Manila","Vinia Residences, Phil-Am, Quezon City, Metro Manila, Philippines",14.6511737,121.0325504
Amaia Steps Nova,"Pasong Tamo, Quezon City, Metro Manila","Amaia Steps Nova, Pasong Tamo, Quezon City, Metro Manila, Philippines",14.6839482,121.0621807
One Oasis Ortigas,"Santa Lucia, Pasig, Metro Manila","One Oasis Ortigas, Santa Lucia, Pasig, Metro Manila, Philippines",14.5896188,121.0958667
Solstice at Circuit Makati,"Carmona, Makati, Metro Manila","Solstice at Circuit Makati, Carmona, Makati, Metro Manila, Philippines",14.5745289,121.0186751
High Park at Vertis North,"Bagong Pag-Asa, Quezon City, Metro Manila","High Park at Vertis North, Bagong Pag-Asa, Quezon City, Metro Manila, Philippines",14.6484198,121.0382333
Park Triangle Residences,"BGC, Taguig, Metro Manila","Park Triangle Residences, BGC, Taguig, Metro Manila, Philippines",14.5529172,121.0542996
Avida Towers Intima,"Metro Manila, Manila","Avida Towers Intima, Metro Manila, Manila, Philippines",14.5832123,120.995821
One Antonio,"San Antonio, Makati, Metro Manila","One Antonio, San Antonio, Makati, Metro Manila, Philippines",14.5640854,121.0128905
Eight Wack Wack,"Plainview, Mandaluyong, Metro Manila","Eight Wack Wack, Plainview, Mandaluyong, Metro Manila, Philippines",14.5756052,121.0349434
Amvel Mansions,"Tugatog, Malabon, Metro Manila","Amvel Mansions, Tugatog, Malabon, Metro Manila, Philippines",14.6629184,120.9689892
Elizabeth Place,"Bel-Air, Makati, Metro Manila","Elizabeth Place, Bel-Air, Makati, Metro Manila, Philippines",14.5616881,121.0208173
Grand Hamptons,"Forbes Park North, Makati, Metro Manila","Grand Hamptons, Forbes Park North, Makati, Metro Manila, Philippines",14.5512273,121.0353201
Dansalan Garden,"Malamig, Mandaluyong, Metro Manila","Dansalan Garden, Malamig, Mandaluyong, Metro Manila, Philippines",14.5749149,121.0446051
Portovita Condominium,"Socorro, Quezon City, Metro Manila","Portovita Condominium, Socorro, Quezon City, Metro Manila, Philippines",14.6195348,121.0583989
Sea Residences Tower A,"Barangay 97, Pasay, Metro Manila","Sea Residences Tower A, Barangay 97, Pasay, Metro Manila, Philippines",14.5338425,120.9859729
