REGION, INSTITUTION NAME, INSTITUTION TYPE, PROVINCE, MUNICIPALITY/CITY,FULL_ADDRESS,cleaned_query,fallback_query,lat,lon,geocode_provider,formatted_address,quality_note
13 - Nat. Capital Region,Adamson University,Private,Metro Manila,City of Manila,"Adamson University, City of Manila",adamson university city of manila metro manila philippines,,14.5874779,120.9856156,google,"900 San Marcelino St, Ermita, Manila, 1000 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Air Link International Aviation College,Private,Metro Manila,City of Manila,"Air Link International Aviation College, City of Manila",air link international aviation college city of manila metro manila philippines,,14.5206283,121.0010559,google,"Domestic Rd, Pasay City, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Alliance Graduate School,Private,Metro Manila,Quezon City,"Alliance Graduate School, Quezon City",alliance graduate school quezon city metro manila philippines,,14.6558774,121.0253717,google,"101 Dangay, Project 7, Quezon City, 1105 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,AMA Computer College-Makati,Private,Metro Manila,City of Makati,"AMA Computer College-Makati, City of Makati",ama computer college-makati city of makati metro manila philippines,,14.5501669,121.0659843,google,"5486 South Superhighway corner Hen. Tinio St., Bangkal, Makati City, Makati City, Metropolitan Manila Fourth District, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,AMA Computer University,Private,Metro Manila,Quezon City,"AMA Computer University, Quezon City",ama computer university quezon city metro manila philippines,"AMA Computer University, Quezon City, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,Arellano University-Manila,Private,Metro Manila,City of Manila,"Arellano University-Manila, City of Manila",arellano university-manila city of manila metro manila philippines,"Arellano University-Manila, City of Manila, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,Arellano University-Malabon,Private,Metro Manila,City of Malabon,"Arellano University-Malabon, City of Malabon",arellano university-malabon city of malabon metro manila philippines,"Arellano University-Malabon, City of Malabon, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,Arellano University-Pasay,Private,Metro Manila,Pasay City,"Arellano University-Pasay, Pasay City",arellano university-pasay pasay city metro manila philippines,"Arellano University-Pasay, Pasay City, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,Arellano University-Pasig,Private,Metro Manila,City of Pasig,"Arellano University-Pasig, City of Pasig",arellano university-pasig city of pasig metro manila philippines,"Arellano University-Pasig, City of Pasig, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,Asia Pacific College,Private,Metro Manila,City of Makati,"Asia Pacific College, City of Makati",asia pacific college city of makati metro manila philippines,,14.5311124,121.021315,google,"3 Humabon, Makati, 1232 Kalakhang Maynila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Asian Institute for Distance Education,Private,Metro Manila,City of Makati,"Asian Institute for Distance Education, City of Makati",asian institute for distance education city of makati metro manila philippines,,14.554779,121.020651,google,"Unit 302 3rd Floor, Greenbelt Mansions, 106 Perea, Legazpi Village, Makati City, 1200 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Asian Institute of Journalism and Communication,Private,Metro Manila,City of Manila,"Asian Institute of Journalism and Communication, City of Manila",asian institute of journalism and communication city of manila metro manila philippines,,14.616514,121.000759,google,"2244 España Blvd, Sampaloc, Manila, 1008 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Asian Institute of Management,Private,Metro Manila,City of Makati,"Asian Institute of Management, City of Makati",asian institute of management city of makati metro manila philippines,,14.552473,121.018728,google,"123 Paseo de Roxas, Legazpi Village, Makati City, 1229 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Asian Institute of Maritime Studies,Private,Metro Manila,Pasay City,"Asian Institute of Maritime Studies, Pasay City",asian institute of maritime studies pasay city metro manila philippines,,14.5461269,120.9922325,google,"Roxas Boulevard, cor Antonio S. Arnaiz Ave, Pasay City, 1302 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Asian Social Institute,Private,Metro Manila,City of Manila,"Asian Social Institute, City of Manila",asian social institute city of manila metro manila philippines,,14.5774534,120.9887399,google,"1518 Leon Guinto St, Malate, Manila, 1004 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Asian Theological Seminary,Private,Metro Manila,Quezon City,"Asian Theological Seminary, Quezon City",asian theological seminary quezon city metro manila philippines,"Asian Theological Seminary, Quezon City, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,Assumption College,Private,Metro Manila,City of Makati,"Assumption College, City of Makati",assumption college city of makati metro manila philippines,,14.5468471,121.0218989,google,"Makati City, 1223 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Ateneo de Manila University-Quezon City,Private,Metro Manila,Quezon City,"Ateneo de Manila University-Quezon City, Quezon City",ateneo de manila university-quezon city quezon city metro manila philippines,,14.6395704,121.0785779,google,"Katipunan Ave, Quezon City, 1108 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Ateneo De Manila University School of Medicine and Public Health,Private,Metro Manila,City of Pasig,"Ateneo De Manila University School of Medicine and Public Health, City of Pasig",ateneo de manila university school of medicine and public health city of pasig metro manila philippines,,14.5905214,121.0703492,google,"Don Eugenio Lopez Sr. Medical Complex, Ortigas Ave, Pasig, 1604 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Ateneo de Manila University Graduate School of Business,Private,Metro Manila,City of Makati,"Ateneo de Manila University Graduate School of Business, City of Makati",ateneo de manila university graduate school of business city of makati metro manila philippines,"Ateneo de Manila University Graduate School of Business, City of Makati, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,Bernardo College,Private,Metro Manila,City of Las Piñas,"Bernardo College, City of Las Piñas",bernardo college city of las pinas metro manila philippines,,14.4693473,120.9726481,google,"FX9F+P3J, Las Piñas, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Biblical Seminary of the Philippines,Private,Metro Manila,City of Valenzuela,"Biblical Seminary of the Philippines, City of Valenzuela",biblical seminary of the philippines city of valenzuela metro manila philippines,,14.6909755,120.9812144,google,"77-B Karuhatan Rd, Valenzuela, 1441 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,CAP College Foundation,Private,Metro Manila,City of Makati,"CAP College Foundation, City of Makati",cap college foundation city of makati metro manila philippines,,14.5555436,121.014919,google,"126 Amorsolo, corner V.A. Rufino St, Legazpi Village, Makati City, 1229 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,University of Asia and the Pacific,Private,Metro Manila,City of Pasig,"University of Asia and the Pacific, City of Pasig",university of asia and the pacific city of pasig metro manila philippines,,14.5802953,121.0608408,google,"Pearl Dr, Ortigas Center, Pasig, 1605 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Central Colleges of the Philippines,Private,Metro Manila,Quezon City,"Central Colleges of the Philippines, Quezon City",central colleges of the philippines quezon city metro manila philippines,,14.605926,121.0194646,google,"52 Aurora Blvd, Quezon City, 1113 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Centro Escolar University-Manila,Private,Metro Manila,City of Manila,"Centro Escolar University-Manila, City of Manila",centro escolar university-manila city of manila metro manila philippines,"Centro Escolar University-Manila, City of Manila, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,Chiang Kai Shek College,Private,Metro Manila,City of Manila,"Chiang Kai Shek College, City of Manila",chiang kai shek college city of manila metro manila philippines,,14.6076248,120.9767277,google,"1274 Padre Algue St, Tondo, Manila, 1012 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Chinese General Hospital Colleges,Private,Metro Manila,City of Manila,"Chinese General Hospital Colleges, City of Manila",chinese general hospital colleges city of manila metro manila philippines,,14.625192,120.988138,google,"286 Blumentritt Rd, Santa Cruz, Manila, 1014 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Saint Anthony Mary Claret College,Private,Metro Manila,Quezon City,"Saint Anthony Mary Claret College, Quezon City",saint anthony mary claret college quezon city metro manila philippines,,14.666715,121.0486194,google,"Sanville Subdivision, 48 Cenacle Dr, Tandang Sora, Quezon City, 1107 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Colegio de San Juan de Letran,Private,Metro Manila,City of Manila,"Colegio de San Juan de Letran, City of Manila",colegio de san juan de letran city of manila metro manila philippines,,14.5936796,120.9771474,google,"151 Muralla St, Intramuros, Manila, 1002 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Concordia College,Private,Metro Manila,City of Manila,"Concordia College, City of Manila",concordia college city of manila metro manila philippines,,14.5811455,121.002543,google,"1739 Pedro Gil St, Paco, Manila, 1007 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,De La Salle University-Manila,Private,Metro Manila,City of Manila,"De La Salle University-Manila, City of Manila",de la salle university-manila city of manila metro manila philippines,"De La Salle University-Manila, City of Manila, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,De Ocampo Memorial College,Private,Metro Manila,City of Manila,"De Ocampo Memorial College, City of Manila",de ocampo memorial college city of manila metro manila philippines,,14.6001177,120.9995874,google,"3200 Nagtahan corner Magsaysay Boulevard, Santa Mesa, Manila, Santa Mesa, Manila, 1008 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Divine Word Mission Seminary,Private,Metro Manila,Quezon City,"Divine Word Mission Seminary, Quezon City",divine word mission seminary quezon city metro manila philippines,,14.624224,121.030472,google,"101 E Rodriguez Sr. Ave, Quezon City, 1112 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,De La Salle-College of Saint Benilde,Private,Metro Manila,City of Manila,"De La Salle-College of Saint Benilde, City of Manila",de la salle-college of saint benilde city of manila metro manila philippines,,14.5638473,120.9947909,google,"2544 Taft Ave, Malate, Manila, 1004 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Dominican College,Private,Metro Manila,City of San Juan,"Dominican College, City of San Juan",dominican college city of san juan metro manila philippines,,14.5984181,121.0300945,google,"179 F. Blumentritt, San Juan City, 1500 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Don Bosco Technical College,Private,Metro Manila,City of Mandaluyong,"Don Bosco Technical College, City of Mandaluyong",don bosco technical college city of mandaluyong metro manila philippines,,14.5903915,121.0252637,google,"736 Gen Kalentong, Mandaluyong City, 1550 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Dr. Carlos S. Lanting College,Private,Metro Manila,Quezon City,"Dr. Carlos S. Lanting College, Quezon City",dr. carlos s. lanting college quezon city metro manila philippines,,14.6796594,121.0206033,google,"16 Tandang Sora Ave, Novaliches, Quezon City, 1116 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Emilio Aguinaldo College,Private,Metro Manila,City of Manila,"Emilio Aguinaldo College, City of Manila",emilio aguinaldo college city of manila metro manila philippines,,14.582867,120.9871053,google,"1113 San Marcelino St, Paco, Manila, Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,"Eulogio ""Amang"" Rodriguez Institute of Science and Technology",SUC,Metro Manila,City of Manila,"Eulogio ""Amang"" Rodriguez Institute of Science and Technology, City of Manila","eulogio ""amang"" rodriguez institute of science and technology city of manila metro manila philippines",,14.5990138,121.001255,google,"H2X2+JG2, Nagtahan St, Sampaloc, Manila, 1008 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Far Eastern University,Private,Metro Manila,City of Manila,"Far Eastern University, City of Manila",far eastern university city of manila metro manila philippines,,14.603738,120.9864748,google,"Nicanor Reyes Sr, Street, Sampaloc, Manila, 1008 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,FEATI University,Private,Metro Manila,City of Manila,"FEATI University, City of Manila",feati university city of manila metro manila philippines,"FEATI University, City of Manila, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,Febias College of Bible,Private,Metro Manila,City of Valenzuela,"Febias College of Bible, City of Valenzuela",febias college of bible city of valenzuela metro manila philippines,,14.6883445,120.9806333,google,"2 Karuhatan Rd, Valenzuela, Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,FEU-FERN College,Private,Metro Manila,Quezon City,"FEU-FERN College, Quezon City",feu-fern college quezon city metro manila philippines,,14.6852744,121.0644142,google,"Sampaguita Avenue, Mapayapa Village III, Quezon City, 1101 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,FEU-Dr. Nicanor Reyes Medical Foundation,Private,Metro Manila,Quezon City,"FEU-Dr. Nicanor Reyes Medical Foundation, Quezon City",feu-dr. nicanor reyes medical foundation quezon city metro manila philippines,"FEU-Dr. Nicanor Reyes Medical Foundation, Quezon City, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,Governor Andres Pascual College,Private,Metro Manila,City of Navotas,"Governor Andres Pascual College, City of Navotas",governor andres pascual college city of navotas metro manila philippines,,14.6636427,120.9444687,google,"1045 M. Naval St, Navotas, 1485 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Greenville College,Private,Metro Manila,City of Pasig,"Greenville College, City of Pasig",greenville college city of pasig metro manila philippines,,14.6088299,121.0975981,google,"112 Belfast, Pasig, Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,De La Salle-Araneta University,Private,Metro Manila,City of Malabon,"De La Salle-Araneta University, City of Malabon",de la salle-araneta university city of malabon metro manila philippines,,14.6711938,120.9985612,google,"Salvador Araneta Campus, 303 Victoneta Ave, Malabon, 1475 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Holy Rosary College Foundation,Private,Metro Manila,City of Caloocan,"Holy Rosary College Foundation, City of Caloocan",holy rosary college foundation city of caloocan metro manila philippines,,14.7684889,121.0595638,google,"Fr. Hofstee St., Tala, Caloocan, 1427 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Institute of Community and Family Health,Private,Metro Manila,Quezon City,"Institute of Community and Family Health, Quezon City",institute of community and family health quezon city metro manila philippines,,14.6211433,121.0091847,google,"4th Floor, Medical Arts Building, 11 Banawe Street, Corner 1113, Cardiz, Quezon City, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Institute of Formation and Religious Studies,Private,Metro Manila,City of Manila,"Institute of Formation and Religious Studies, City of Manila",institute of formation and religious studies city of manila metro manila philippines,,14.6164352,121.0432206,google,"N. Domingo Street, corner St John, Quezon City, Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Interface Computer College-Manila,Private,Metro Manila,City of Manila,"Interface Computer College-Manila, City of Manila",interface computer college-manila city of manila metro manila philippines,,14.6028849,120.986107,google,"1881 Henry Yang Complex, Recto Ave, Sampaloc, Manila, 1008 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,International Baptist College,Private,Metro Manila,City of Mandaluyong,"International Baptist College, City of Mandaluyong",international baptist college city of mandaluyong metro manila philippines,,14.575662,121.047232,google,"474 Arayat, Brgy. Malamig, Mandaluyong City, 1550 Kalakhang Maynila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,International Graduate School of Leadership,Private,Metro Manila,Quezon City,"International Graduate School of Leadership, Quezon City",international graduate school of leadership quezon city metro manila philippines,,14.6873579,121.0339857,google,"12 Daisy Road, 110 Old Sauyo Rd, Novaliches, Quezon City, Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Jose Rizal University,Private,Metro Manila,City of Mandaluyong,"Jose Rizal University, City of Mandaluyong",jose rizal university city of mandaluyong metro manila philippines,,14.5925264,121.0285593,google,"80 Shaw Blvd, Mandaluyong City, 1552 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,University of Caloocan City,LUC,Metro Manila,City of Caloocan,"University of Caloocan City, City of Caloocan",university of caloocan city city of caloocan metro manila philippines,"University of Caloocan City, City of Caloocan, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,La Consolacion College-Manila,Private,Metro Manila,City of Manila,"La Consolacion College-Manila, City of Manila",la consolacion college-manila city of manila metro manila philippines,,14.5973897,120.9929004,google,"8 Mendiola St, San Miguel, Manila, 1005 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,La Consolacion College-Caloocan,Private,Metro Manila,City of Caloocan,"La Consolacion College-Caloocan, City of Caloocan",la consolacion college-caloocan city of caloocan metro manila philippines,,14.651871,120.972692,google,"496 A. Mabini St, Dagat-Dagatan, Caloocan, 1408 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Lacson College,Private,Metro Manila,Pasay City,"Lacson College, Pasay City",lacson college pasay city metro manila philippines,,14.5567667,120.9957732,google,"1834 Donada, Manila, 1300 Kalakhang Maynila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Centro Escolar Las Piñas,Private,Metro Manila,City of Las Piñas,"Centro Escolar Las Piñas, City of Las Piñas",centro escolar las pinas city of las pinas metro manila philippines,,14.4257924,121.0128924,google,"Pilar Rd, Las Piñas, 1750 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Regis Marie College,Private,Metro Manila,City of Parañaque,"Regis Marie College, City of Parañaque",regis marie college city of paranaque metro manila philippines,,14.4767496,121.0015305,google,"Villanueva Village Basketball Court, Lire Ln, Parañaque, 1709 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Lyceum of the Philippines University,Private,Metro Manila,City of Manila,"Lyceum of the Philippines University, City of Manila",lyceum of the philippines university city of manila metro manila philippines,,14.5915772,120.9777733,google,"Muralla St, Intramuros, Manila, 1002 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,City of Malabon University,LUC,Metro Manila,City of Malabon,"City of Malabon University, City of Malabon",city of malabon university city of malabon metro manila philippines,,14.6537811,120.9601605,google,"Pampano St, Maya-Maya St, Malabon, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Manila Central University,Private,Metro Manila,City of Caloocan,"Manila Central University, City of Caloocan",manila central university city of caloocan metro manila philippines,,14.6590004,120.9862475,google,"Manila Central University, Epifanio de los Santos Ave, Morning Breeze Subdivision, Caloocan, 1400 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Manila Tytana Colleges,Private,Metro Manila,Pasay City,"Manila Tytana Colleges, Pasay City",manila tytana colleges pasay city metro manila philippines,,14.5404574,120.9876894,google,"Metropolitan Park, President, 1302 Diosdado Macapagal Blvd, Pasay City, 1300 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Manila Law College,Private,Metro Manila,,"Manila Law College, ",manila law college metro manila philippines,,14.60159,120.982942,google,"641 Sales St, Santa Cruz, Manila, 1001 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Manila Adventist College,Private,Metro Manila,Pasay City,"Manila Adventist College, Pasay City",manila adventist college pasay city metro manila philippines,,14.5555351,120.9951149,google,"1975 San Juan, Pasay City, 1300 Kalakhang Maynila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Manila Theological College,Private,Metro Manila,City of Manila,"Manila Theological College, City of Manila",manila theological college city of manila metro manila philippines,,14.612114,120.984072,google,"1671 MBC Bldg., Sta. Cruz Alvarez St, Santa Cruz, Manila, 1003 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Manuel L. Quezon University,Private,Metro Manila,Quezon City,"Manuel L. Quezon University, Quezon City",manuel l. quezon university quezon city metro manila philippines,,14.6356427,121.0437983,google,"790 Epifanio de los Santos Ave, Diliman, Quezon City, 1103 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Mapua University-Manila,Private,Metro Manila,City of Manila,"Mapua University-Manila, City of Manila",mapua university-manila city of manila metro manila philippines,,14.5904883,120.9779484,google,"658 Muralla St, Intramuros, Manila, 1002 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Mapua University-Makati,Private,Metro Manila,City of Makati,"Mapua University-Makati, City of Makati",mapua university-makati city of makati metro manila philippines,,14.5664448,121.0150497,google,"1191 Pablo Ocampo Sr. Ext, Makati City, Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Marikina Polytechnic College,SUC,Metro Manila,City of Marikina,"Marikina Polytechnic College, City of Marikina",marikina polytechnic college city of marikina metro manila philippines,,14.6323331,121.0986601,google,"2 J. Chanyungco St, Marikina, 1800 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Martinez Memorial College,Private,Metro Manila,City of Caloocan,"Martinez Memorial College, City of Caloocan",martinez memorial college city of caloocan metro manila philippines,,14.6385269,120.9757766,google,"JXQG+C86, A. Mabini St, Maypajo, Manila, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Mary Chiles College,Private,Metro Manila,City of Manila,"Mary Chiles College, City of Manila",mary chiles college city of manila metro manila philippines,,14.603641,120.989787,google,"667 Dalupan St, Sampaloc, Manila, 1008 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,CICM Maryhill School of Theology,Private,Metro Manila,Quezon City,"CICM Maryhill School of Theology, Quezon City",cicm maryhill school of theology quezon city metro manila philippines,,14.6229276,121.0285972,google,"62 14th St, corner Gilmore Ave, Quezon City, 1112 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Metro Business College-Pasay,Private,Metro Manila,Pasay City,"Metro Business College-Pasay, Pasay City",metro business college-pasay pasay city metro manila philippines,"Metro Business College-Pasay, Pasay City, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,Metro Manila College,Private,Metro Manila,Quezon City,"Metro Manila College, Quezon City",metro manila college quezon city metro manila philippines,,14.7266762,121.0435247,google,"Jordan Plaines Subdivision, 1736 Joel, Novaliches, Quezon City, 1124 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Metropolitan Medical Center College of Arts Science and Technology,Private,Metro Manila,City of Manila,"Metropolitan Medical Center College of Arts Science and Technology, City of Manila",metropolitan medical center college of arts science and technology city of manila metro manila philippines,"Metropolitan Medical Center College of Arts Science and Technology, City of Manila, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,Miriam College,Private,Metro Manila,Quezon City,"Miriam College, Quezon City",miriam college quezon city metro manila philippines,"Miriam College, Quezon City, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,Mother of Life Center,Private,Metro Manila,Quezon City,"Mother of Life Center, Quezon City",mother of life center quezon city metro manila philippines,,14.7306719,121.036182,google,"123 Susano Rd, Novaliches, Quezon City, 1117 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Pamantasan ng Lungsod ng Muntinlupa,LUC,Metro Manila,City of Muntinlupa,"Pamantasan ng Lungsod ng Muntinlupa, City of Muntinlupa",pamantasan ng lungsod ng muntinlupa city of muntinlupa metro manila philippines,,14.3892443,121.025428,google,"92QG+M5V, University Rd, Muntinlupa, 1772 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,NAMEI Polytechnic Institute,Private,Metro Manila,City of Manila,"NAMEI Polytechnic Institute, City of Manila",namei polytechnic institute city of manila metro manila philippines,,14.5876299,121.0238316,google,"123 A. Mabini, Mandaluyong City, 1550 Kalakhang Maynila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,National College of Business and Arts-Cubao,Private,Metro Manila,Quezon City,"National College of Business and Arts-Cubao, Quezon City",national college of business and arts-cubao quezon city metro manila philippines,,14.628481,121.067901,google,"994 Aurora Blvd, Project 4, Quezon City, 1109 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,National College of Business and Arts-Fairview,Private,Metro Manila,Quezon City,"National College of Business and Arts-Fairview, Quezon City",national college of business and arts-fairview quezon city metro manila philippines,,14.705871,121.068024,google,"Commonwealth Ave, cor Regalado St, Quezon City, Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,The National Teachers College,Private,Metro Manila,City of Manila,"The National Teachers College, City of Manila",the national teachers college city of manila metro manila philippines,,14.5980765,120.9892381,google,"629 J Nepomuceno St, Quiapo, Manila, 1001 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,National University,Private,Metro Manila,City of Manila,"National University, City of Manila",national university city of manila metro manila philippines,,14.6043164,120.9946287,google,"551 F Jhocson St, Sampaloc, Manila, 1008 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Navotas Polytechnic College,LUC,Metro Manila,City of Navotas,"Navotas Polytechnic College, City of Navotas",navotas polytechnic college city of navotas metro manila philippines,,14.6446113,120.9565317,google,"JXV4+RJV, Bangus St, Navotas, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,New Era University,Private,Metro Manila,Quezon City,"New Era University, Quezon City",new era university quezon city metro manila philippines,,14.6639296,121.0580764,google,"9 Central Ave, Quezon City, 1107 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Olivarez College,Private,Metro Manila,City of Parañaque,"Olivarez College, City of Parañaque",olivarez college city of paranaque metro manila philippines,,14.4788387,120.9962295,google,"Dr Arcadio Santos Ave, Parañaque, 1700 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Our Lady of Fatima University-Valenzuela,Private,Metro Manila,City of Valenzuela,"Our Lady of Fatima University-Valenzuela, City of Valenzuela",our lady of fatima university-valenzuela city of valenzuela metro manila philippines,"Our Lady of Fatima University-Valenzuela, City of Valenzuela, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,Our Lady of Lourdes College,Private,Metro Manila,City of Valenzuela,"Our Lady of Lourdes College, City of Valenzuela",our lady of lourdes college city of valenzuela metro manila philippines,,14.6876379,120.9977856,google,"5031 Gen. T. de Leon, Valenzuela, 1442 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Our Lady of the Angels Seminary,Private,Metro Manila,Quezon City,"Our Lady of the Angels Seminary, Quezon City",our lady of the angels seminary quezon city metro manila philippines,,14.6981051,121.0384206,google,"1116 Seminary Rd, Quezon City, Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,PACE Graduate School of Christian Education,Private,Metro Manila,Quezon City,"PACE Graduate School of Christian Education, Quezon City",pace graduate school of christian education quezon city metro manila philippines,"PACE Graduate School of Christian Education, Quezon City, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,Pamantasan ng Lungsod ng Maynila,LUC,Metro Manila,City of Manila,"Pamantasan ng Lungsod ng Maynila, City of Manila",pamantasan ng lungsod ng maynila city of manila metro manila philippines,,14.58679,120.9761774,google,"General Luna, corner Muralla St, Intramuros, Manila, 1002 Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,City University of Pasay,LUC,Metro Manila,Pasay City,"City University of Pasay, Pasay City",city university of pasay pasay city metro manila philippines,,14.544356,120.995515,google,"GXVW+P6R, Pasadena, Pasay City, 1702 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
