REGION, INSTITUTION NAME, INSTITUTION TYPE, PROVINCE, MUNICIPALITY/CITY,FULL_ADDRESS,cleaned_query,fallback_query,lat,lon,geocode_provider,formatted_address,quality_note
13 - Nat. Capital Region,Philippine Cultural College,Private,Metro Manila,Quezon City,"Philippine Cultural College, Quezon City",philippine cultural college quezon city metro manila philippines,,14.6221882,121.003886,google,"46 Sen. Mariano J. Cuenco Senior St, corner D. Tuazon St, Santa Mesa Heights, Quezon City, 1114 Kalakhang Maynila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Diliman College,Private,Metro Manila,Quezon City,"Diliman College, Quezon City",diliman college quezon city metro manila philippines,,14.6747106,121.0820308,google,"Commonwealth Ave, Diliman, Quezon City, 1101 Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Colegio de Sta. Teresa de Avila Foundation,Private,Metro Manila,Quezon City,"Colegio de Sta. Teresa de Avila Foundation, Quezon City",colegio de sta. teresa de avila foundation quezon city metro manila philippines,,14.7338288,121.0511969,google,"P3M2+GFP, Skylark, Novaliches, Quezon City, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,The One Nation Entrepreneur School,Private,Metro Manila,City of Makati,"The One Nation Entrepreneur School, City of Makati",the one nation entrepreneur school city of makati metro manila philippines,"The One Nation Entrepreneur School, City of Makati, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,Bestlink College of the Philippines,Private,Metro Manila,Quezon City,"Bestlink College of the Philippines, Quezon City",bestlink college of the philippines quezon city metro manila philippines,"Bestlink College of the Philippines, Quezon City, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,Global Reciprocal Colleges,Private,Metro Manila,City of Caloocan,"Global Reciprocal Colleges, City of Caloocan",global reciprocal colleges city of caloocan metro manila philippines,,14.6498365,120.9839212,google,"GRC Building, 454, 1400 Rizal Ave Ext, Grace Park East, Caloocan, Metro Manila, Philippines",CLEANED|ROOFTOP
13 - Nat. Capital Region,Golden Link College Foundation,Private,Metro Manila,Quezon City,"Golden Link College Foundation, Quezon City",golden link college foundation quezon city metro manila philippines,,14.7456068,121.0571617,google,"Main Waling-waling St. Brgy 177 Caloocan City North Metro Manila, Caloocan, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Pacific InterContinental College,Private,Metro Manila,City of Las Piñas,"Pacific InterContinental College, City of Las Piñas",pacific intercontinental college city of las pinas metro manila philippines,,14.41979,121.011068,google,"Silver, Las Piñas, Metro Manila, Philippines",CLEANED|GEOMETRIC_CENTER
13 - Nat. Capital Region,Asian Institute of Computer Studies-Quezon City,Private,Metro Manila,Quezon City,"Asian Institute of Computer Studies-Quezon City, Quezon City",asian institute of computer studies-quezon city quezon city metro manila philippines,"Asian Institute of Computer Studies-Quezon City, Quezon City, Metro Manila, Philippines",,,,,
13 - Nat. Capital Region,Far Eastern University-Makati,Private,Metro Manila,,"Far Eastern University-Makati, ",far eastern university-makati metro manila philippines,,14.5634222,121.0383925,google,"One Rockwell East Tower, Rockwell Dr, Makati City, Metro Manila, Philippines",CLEANED|ROOFTOP
