project_name,floor_area,price,bedrooms,bathrooms,condition,parking,price_per_sqm
The Proscenium,121,52000000.0,2,3,Fully furnished,2.0,429752.0661157025
The Proscenium,63,24000000.0,1,1,Fully furnished,1.0,380952.38095238095
One Rockwell,71,22000000.0,1,1,Fully furnished,1.0,309859.1549295775
Park Terraces,80,26000000.0,1,1,Fully furnished,1.0,325000.0
One Rockwell East Tower,68,20000000.0,1,1,Partly furnished,0.0,294117.64705882355
Pacific Plaza,289,68000000.0,3,3,Partly furnished,2.0,235294.11764705883
Fortis Residences,55,14140000.0,1,1,Unfurnished,0.0,257090.9090909091
Trump Tower,95,23000000.0,1,1,Fully furnished,0.0,242105.26315789475
One Rockwell,71,22000000.0,1,1,Fully furnished,1.0,309859.1549295775
Garden Towers,218,76000000.0,3,3,Partly furnished,2.0,348623.8532110092
One Central Makati,46,7900000.0,1,1,Fully furnished,0.0,171739.13043478262
Three Central,49,7800000.0,1,1,Fully furnished,0.0,159183.67346938775
One Central,49,8000000.0,1,1,Fully furnished,0.0,163265.306122449
One Central,46,6800000.0,1,1,Fully furnished,0.0,147826.08695652173
Signa Designer Residences,60,10000000.0,2,3,Fully furnished,0.0,166666.66666666666
Pacific Plaza,289,68000000.0,3,3,Partly furnished,2.0,235294.11764705883
Forbes Tower Condominium,257,43000000.0,3,2,Fully furnished,2.0,167315.17509727625
Skyland Plaza,300,42000000.0,4,4,Fully furnished,2.0,140000.0
The Proscenium,121,52000000.0,2,3,Fully furnished,2.0,429752.0661157025
BSA Suites,44,7800000.0,1,1,Partly furnished,1.0,177272.72727272726
The Residences at Greenbelt,133,35000000.0,2,2,Partly furnished,2.0,263157.8947368421
The Rise Makati,28,7000000.0,1,1,Fully furnished,1.0,250000.0
Grand Soho Makati,29,5900000.0,1,1,Partly furnished,0.0,203448.27586206896
The Residences at Greenbelt,133,35000000.0,2,2,Fully furnished,2.0,263157.8947368421
The Salcedo Park Condominum,180,32000000.0,3,2,Unfurnished,1.0,177777.77777777778
Joya Lofts and Towers,60,20000000.0,1,1,Partly furnished,1.0,333333.3333333333
The Columns At Legaspi Village,74,24000000.0,2,2,Fully furnished,1.0,324324.3243243243
Air Residences,26,6000000.0,1,1,Partly furnished,0.0,230769.23076923078
Trump Tower,200,72000000.0,3,3,Fully furnished,2.0,360000.0
The Columns At Legaspi Village,74,24000000.0,2,2,Fully furnished,1.0,324324.3243243243
The Columns At Legaspi Village,74,24000000.0,2,2,Fully furnished,1.0,324324.3243243243
The Rise Makati,28,5000000.0,1,1,Fully furnished,0.0,178571.42857142858
