title,project_unit,project_name,area,floor_area,price,location,bedrooms,bathrooms,floor,condition,property_type,offer_type,construction_year,parking_spaces,ownership_type,project_link,publish_by
PARK TERRACES STUDIO MAKATI,Park Terraces,Park Terraces,37 sqm,37 sqm,"₱ 13,000,000","Makati, Metro Manila",1 bedroom,1 bathroom,30,Fully furnished,Studio,For Sale,,1,,https://www.lamudi.com.ph/projects/park-terraces/,Patrice Trijo - Wealth Property Consultants
GRAND SOHO 2 BEDROOM MAKATI,Grand Soho Makati,Grand Soho Makati,100 sqm,100 sqm,"₱ 18,000,000","Bel-Air, Makati",2 bedrooms,3 bathrooms,20,Fully furnished,Condo,For Sale,,1,,https://www.lamudi.com.ph/projects/grand-soho-makati/,Patrice Trijo - Wealth Property Consultants
SOLSTICE 2 BEDROOM CORNER UNIT MAKATI,Solstice Towers,Solstice Towers,80 sqm,80 sqm,"₱ 18,000,000","Makati, Metro Manila",2 bedrooms,2 bathrooms,37,Unfurnished,Condo,For Sale,,1,,https://www.lamudi.com.ph/projects/solstice-towers/,Patrice Trijo - Wealth Property Consultants
GARDEN TOWERS PENTHOUSE 4 BEDROOM MAKATI,Garden Towers,Garden Towers,461 sqm,461 sqm,"₱ 285,000,000","Makati, Metro Manila",4 bedrooms,4 bathrooms,,Unfurnished,Penthouse,For Sale,,3,,https://www.lamudi.com.ph/projects/garden-towers-1/,Patrice Trijo - Wealth Property Consultants
TWO ROXAS TRIANGLE 3 BEDROOM  MAKATI,Two Roxas Triangle,Two Roxas Triangle,331 sqm,331 sqm,"₱ 180,000,000","Urdaneta, Makati",3 bedrooms,4 bathrooms,,Fully furnished,Condo,For Sale,,3,,https://www.lamudi.com.ph/projects/two-roxas-triangle/,Patrice Trijo - Wealth Property Consultants
SKYLAND PLAZA 3 BEDROOM MAKATI,Skyland Plaza,Skyland Plaza,137 sqm,137 sqm,"₱ 16,500,000","San Antonio, Makati",3 bedrooms,3 bathrooms,,Fully furnished,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/skyland-plaza/,Patrice Trijo - Wealth Property Consultants
TWO ROXAS TRIANGLE 3 BEDROOM MAKATI,Two Roxas Triangle,Two Roxas Triangle,304 sqm,304 sqm,"₱ 125,000,000","Urdaneta, Makati",3 bedrooms,4 bathrooms,52,Unfurnished,Condo,For Sale,,3,,https://www.lamudi.com.ph/projects/two-roxas-triangle/,Patrice Trijo - Wealth Property Consultants
RAFFLES RESIDENCES 1 BEDROOM MAKATI,Raffles Residences,Raffles Residences,81 sqm,81 sqm,"₱ 32,000,000","Makati, Metro Manila",1 bedroom,2 bathrooms,,,Condotel,For Sale,,,,https://www.lamudi.com.ph/projects/raffles-residences/,Patrice Trijo - Wealth Property Consultants
RUSH SALE PROSCENIUM KIROV 3 BEDROOM ROCKWELL MAKATI,Proscenium at Rockwell,Proscenium at Rockwell,224 sqm,224 sqm,"₱ 85,000,000","Guadalupe Viejo, Makati",3 bedrooms,3 bathrooms,28,Fully furnished,Condo,For Sale,,2,,https://www.lamudi.com.ph/projects/proscenium-at-rockwell-1/,Patrice Trijo - Wealth Property Consultants
1 Bedroom Condo Unit for sale at The Rise Makati by Shang Properties Ayala Ave,The Rise Makati,The Rise Makati,28 sqm,28 sqm,"₱ 5,099,999","San Antonio, Makati",1 bedroom,1 bathroom,,Unfurnished,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/the-rise-makati/,Alex Pangilinan
2 Bedrooms at Rockwell Center Makati The Proscenium For Sale,,,89 sqm,89 sqm,"₱ 39,000,000","Guadalupe Viejo, Makati",2 bedrooms,,,,Condo,For Sale,,,,,marga.realestate
3 Bedroom Rockwell Proscenium Condominium For Sale in Makati City,Proscenium at Rockwell,Proscenium at Rockwell,162 sqm,162 sqm,"₱ 70,000,000","Guadalupe Viejo, Makati",3 bedrooms,3 bathrooms,,Fully furnished,Condo,For Sale,,2,,https://www.lamudi.com.ph/projects/proscenium-at-rockwell-1/,marga.realestate
"HIGH FLOOR LOCATED! 2 bedroom condo unit for sale in The Rise, Makati City",,,73 sqm,73 sqm,"₱ 18,000,000","San Antonio, Makati",2 bedrooms,2 bathrooms,,,Condo,For Sale,,,,,Landlord Realty Development
"For Sale 3BR Condo Unit with Balcony & Parking in Skyland Plaza, Makati City",Skyland Plaza,Skyland Plaza,137 sqm,137 sqm,"₱ 16,000,000","San Antonio, Makati",3 bedrooms,2 bathrooms,,Fully furnished,Condo,For Sale,,,,https://www.lamudi.com.ph/projects/skyland-plaza/,Line Development Corp
"Luxury Fully Furnished 3BR Condo for Sale in Two Roxas Triangle, Makati City",Two Roxas Triangle,Two Roxas Triangle,308 sqm,308 sqm,"₱ 125,000,000","Urdaneta, Makati",3 bedrooms,3 bathrooms,,Fully furnished,Condo,For Sale,,3,,https://www.lamudi.com.ph/projects/two-roxas-triangle/,Line Development Corp
"For Sale One Rockwell Fully Furnished 57 sqm Loft Type Unit,Makati",One Rockwell,One Rockwell,57 sqm,57 sqm,"₱ 16,000,000","Makati, Metro Manila",1 bedroom,1 bathroom,,Fully furnished,Condo,For Sale,,1,,https://www.lamudi.com.ph/projects/one-rockwell/,Line Development Corp
"Repriced! For Sale RFO 137 sqm 2BR Unit in Garden Towers, Makati City",Garden Towers,Garden Towers,137 sqm,137 sqm,"₱ 44,000,000","Makati, Metro Manila",2 bedrooms,2 bathrooms,,Unfurnished,Condo,For Sale,,1,,https://www.lamudi.com.ph/projects/garden-towers-1/,Line Development Corp
"Repriced! For Sale 137 sqm 2BR Unit in Garden Towers, Makati City",Garden Towers,Garden Towers,137 sqm,137 sqm,"₱ 42,000,000","Makati, Metro Manila",2 bedrooms,2 bathrooms,,Unfurnished,Condo,For Sale,,1,,https://www.lamudi.com.ph/projects/garden-towers-1/,Line Development Corp
"For Sale 1 Bedroom Loft In One Rockwell East, Makati City",One Rockwell,One Rockwell,52 sqm,52 sqm,"₱ 15,000,000","Makati, Metro Manila",1 bedroom,1 bathroom,,Unfurnished,Condo,For Sale,,1,,https://www.lamudi.com.ph/projects/one-rockwell/,Line Development Corp
"For Sale 2 Bedrooms in The Proscenium Residences, Rockwell, Makati City",Proscenium at Rockwell,Proscenium at Rockwell,89 sqm,89 sqm,"₱ 38,000,000","Guadalupe Viejo, Makati",2 bedrooms,2 bathrooms,,Unfurnished,Condo,For Sale,,1,,https://www.lamudi.com.ph/projects/proscenium-at-rockwell-1/,Line Development Corp
