line,station,station_name,address,full_address
LRT-1,Redemptorist–Aseana,LRT 1 - Redemptorist Aseana Station,"4889 Roxas Blvd, Parañaque, Metro Manila","LRT 1 - Redemptorist Aseana Station, 4889 Roxas Blvd, Parañaque, Metro Manila"
LRT-1,MIA Road,MIA Road LRT Station,"8355 Roxas Blvd, Parañaque, Metro Manila","MIA Road LRT Station, 8355 Roxas Blvd, Parañaque, Metro Manila"
LRT-1,Asia World (PITX),LRT 1 - Asia World (PITX) Station,"102 Kennedy Road, Parañaque, Metro Manila","LRT 1 - Asia World (PITX) Station, 102 Kennedy Road, Parañaque, Metro Manila"
LRT-1,Ninoy Aquino,LRT 1 - Ninoy Aquino Station - Parañaque City NCR,"Ninoy Aquino Ave, Parañaque, Metro Manila","LRT 1 - Ninoy Aquino Station - Parañaque City NCR, Ninoy Aquino Ave, Parañaque, Metro Manila"
LRT-1,Dr. Santos,LRT 1 - Dr. Santos Station - Parañaque City NCR,"FXPQ+4WF, San Dionisio, 1700 Metro Manila","LRT 1 - Dr. Santos Station - Parañaque City NCR, FXPQ+4WF, San Dionisio, 1700 Metro Manila"
LRT-2,Recto,LRT 2 - Recto Station,"1655 Recto Ave, Santa Cruz, Manila, 1003 Metro Manila","LRT 2 - Recto Station, 1655 Recto Ave, Santa Cruz, Manila, 1003 Metro Manila"
LRT-2,Legarda,LRT 2 - Legarda Station - Manila City,"JX2V+82W, Sampaloc, Manila, 1008 Metro Manila","LRT 2 - Legarda Station - Manila City, JX2V+82W, Sampaloc, Manila, 1008 Metro Manila"
LRT-2,Pureza,Pureza Station,"3303 Magsaysay Blvd Sampaloc, Manila 1008 Magsaysay Blvd, Sampaloc, Manila, 1008 Metro Manila","Pureza Station, 3303 Magsaysay Blvd Sampaloc, Manila 1008 Magsaysay Blvd, Sampaloc, Manila, 1008 Metro Manila"
LRT-2,V. Mapa,V. Mapa,"Santa Mesa Blvd, Santa Mesa, Manila, Metro Manila","V. Mapa, Santa Mesa Blvd, Santa Mesa, Manila, Metro Manila"
LRT-2,J. Ruiz,LRT-2 J. Ruiz Station,"San Juan City, Metro Manila","LRT-2 J. Ruiz Station, San Juan City, Metro Manila"
LRT-2,Gilmore,Gilmore Station,"Quezon City, Metro Manila","Gilmore Station, Quezon City, Metro Manila"
LRT-2,Betty Go–Belmonte,LRT 2 - BettyGo Belmonte Station - Quezon City,"768 Aurora Blvd, Quezon City, 1111 Metro Manila","LRT 2 - BettyGo Belmonte Station - Quezon City, 768 Aurora Blvd, Quezon City, 1111 Metro Manila"
LRT-2,Cubao,Cubao LRT-2 Station,"70 Aurora Blvd, Quezon City, 1102 Metro Manila","Cubao LRT-2 Station, 70 Aurora Blvd, Quezon City, 1102 Metro Manila"
LRT-2,Anonas,LRT-2 Anonas Station,"Aurora Blvd, Project 3, Quezon City, Metro Manila","LRT-2 Anonas Station, Aurora Blvd, Project 3, Quezon City, Metro Manila"
LRT-2,Katipunan,LRT 2 - Katipunan Station - Quezon City,"977 Aurora Blvd, Project 3, Quezon City, 1109 Metro Manila","LRT 2 - Katipunan Station - Quezon City, 977 Aurora Blvd, Project 3, Quezon City, 1109 Metro Manila"
LRT-2,Santolan,BPI LRT 2 Santolan Station ATM,"LRT Santolan Station, Quezon City, Quezon City, Metro Manila","BPI LRT 2 Santolan Station ATM, LRT Santolan Station, Quezon City, Quezon City, Metro Manila"
LRT-2,Marikina-Pasig,LRT 2 - Marikina–Pasig Station,"1800 Marikina-Infanta Hwy, Marikina, 1800 Metro Manila","LRT 2 - Marikina–Pasig Station, 1800 Marikina-Infanta Hwy, Marikina, 1800 Metro Manila"
LRT-2,Antipolo,SM City Masinag,"SM City, Infanta Hwy, Masinag, Antipolo City, 1870 Rizal","SM City Masinag, SM City, Infanta Hwy, Masinag, Antipolo City, 1870 Rizal"
PNR,Tutuban,Tutuban Station Parking,"JX6F+98C, Tondo, Manila, Metro Manila","Tutuban Station Parking, JX6F+98C, Tondo, Manila, Metro Manila"
PNR,Blumentritt,PNR Blumentritt Station,"1606 Antipolo St, Santa Cruz, Manila, 1014 Metro Manila","PNR Blumentritt Station, 1606 Antipolo St, Santa Cruz, Manila, 1014 Metro Manila"
PNR,Pandacan,PNR Pandacan Station,"Tomos Claudio, Pandacan, Manila, 1011 Metro Manila","PNR Pandacan Station, Tomos Claudio, Pandacan, Manila, 1011 Metro Manila"
PNR,Paco,Paco PNR Station,"HXHX+QQV, C-2, Paco, Manila, Metro Manila","Paco PNR Station, HXHX+QQV, C-2, Paco, Manila, Metro Manila"
PNR,San Andres,PNR San Andres Station,"Aviadores, San Andres Bukid, Manila, Metro Manila","PNR San Andres Station, Aviadores, San Andres Bukid, Manila, Metro Manila"
PNR,Vito Cruz,PNR Vito Cruz Station,"P.Ocampo St., San Andres, Manila, Metro Manila","PNR Vito Cruz Station, P.Ocampo St., San Andres, Manila, Metro Manila"
