REGION,INSTITUTION_NAME,INSTITUTION_TYPE,PROVINCE,MUNICIPALITY_CITY,FULL_ADDRESS
13 - Nat. Capital Region,Interface Computer College-Caloocan,Private,Metro Manila,Caloocan,"Interface Computer College-Caloocan, Caloocan, Metro Manila, Philippines"
13 - Nat. Capital Region,Our Lady of Fatima University-Quezon City,Private,Metro Manila,Quezon City,"Our Lady of Fatima University-Quezon City, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,Our Lady of Lourdes Technological College,Private,Metro Manila,Quezon City,"Our Lady of Lourdes Technological College, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,St. Clare College of Caloocan,Private,Metro Manila,Caloocan,"St. Clare College of Caloocan, Caloocan, Metro Manila, Philippines"
13 - Nat. Capital Region,STI College-Las Piñas,Private,Metro Manila,Las Piñas,"STI College-Las Piñas, Las Piñas, Metro Manila, Philippines"
13 - Nat. Capital Region,Dr. Filemon C. Aguilar Memorial College of Las Piñas,LUC,Metro Manila,Las Piñas,"Dr. Filemon C. Aguilar Memorial College of Las Piñas, Las Piñas, Metro Manila, Philippines"
13 - Nat. Capital Region,Asia Graduate School of Theology,Private,Metro Manila,Quezon City,"Asia Graduate School of Theology, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,AMA Computer College-Las Piñas,Private,Metro Manila,Las Piñas,"AMA Computer College-Las Piñas, Las Piñas, Metro Manila, Philippines"
13 - Nat. Capital Region,AMA Computer College-Pasig City,Private,Metro Manila,Pasig,"AMA Computer College-Pasig City, Pasig, Metro Manila, Philippines"
13 - Nat. Capital Region,Pamantasan ng Lungsod ng Pasig,LUC,Metro Manila,Pasig,"Pamantasan ng Lungsod ng Pasig, Pasig, Metro Manila, Philippines"
13 - Nat. Capital Region,Wesleyan College of Manila,Private,Metro Manila,Pasay,"Wesleyan College of Manila, Pasay, Metro Manila, Philippines"
13 - Nat. Capital Region,Loral Douglas Woosley Bethany Colleges,Private,Metro Manila,Makati,"Loral Douglas Woosley Bethany Colleges, Makati, Metro Manila, Philippines"
13 - Nat. Capital Region,STI College-Marikina,Private,Metro Manila,Marikina,"STI College-Marikina, Marikina, Metro Manila, Philippines"
13 - Nat. Capital Region,IETI College of Science and Technology-Marikina,Private,Metro Manila,Marikina,"IETI College of Science and Technology-Marikina, Marikina, Metro Manila, Philippines"
13 - Nat. Capital Region,Manila Business College Foundation,Private,Metro Manila,Manila,"Manila Business College Foundation, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,Access Computer and Technical Colleges-Manila,Private,Metro Manila,Manila,"Access Computer and Technical Colleges-Manila, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,Criminal Justice College,Private,Metro Manila,Muntinlupa,"Criminal Justice College, Muntinlupa, Metro Manila, Philippines"
13 - Nat. Capital Region,Entrepreneurs School of Asia,Private,Metro Manila,Quezon City,"Entrepreneurs School of Asia, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,St. Mary's College,Private,Metro Manila,Quezon City,"St. Mary's College, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,ABE International College of Business and Accountancy-Cubao,Private,Metro Manila,Quezon City,"ABE International College of Business and Accountancy-Cubao, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,ABE International College of Business and Economics-Las Piñas,Private,Metro Manila,Las Piñas,"ABE International College of Business and Economics-Las Piñas, Las Piñas, Metro Manila, Philippines"
13 - Nat. Capital Region,Development Academy of the Philippines,OGS,Metro Manila,Pasig,"Development Academy of the Philippines, Pasig, Metro Manila, Philippines"
13 - Nat. Capital Region,National Christian Life College,Private,Metro Manila,Marikina,"National Christian Life College, Marikina, Metro Manila, Philippines"
13 - Nat. Capital Region,Global City Innovative College,Private,Metro Manila,Makati,"Global City Innovative College, Makati, Metro Manila, Philippines"
13 - Nat. Capital Region,Southville International School and Colleges,Private,Metro Manila,Las Piñas,"Southville International School and Colleges, Las Piñas, Metro Manila, Philippines"
13 - Nat. Capital Region,Information and Communications Technology Academy,Private,Metro Manila,Makati,"Information and Communications Technology Academy, Makati, Metro Manila, Philippines"
13 - Nat. Capital Region,Our Lady of Guadalupe Colleges,Private,Metro Manila,Mandaluyong,"Our Lady of Guadalupe Colleges, Mandaluyong, Metro Manila, Philippines"
13 - Nat. Capital Region,Access Computer and Technical Colleges-Cubao,Private,Metro Manila,Quezon City,"Access Computer and Technical Colleges-Cubao, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,Immaculate Heart of Mary College-Parañaque,Private,Metro Manila,Parañaque,"Immaculate Heart of Mary College-Parañaque, Parañaque, Metro Manila, Philippines"
13 - Nat. Capital Region,Polytechnic University of the Philippines-Quezon City Campus,SUC,Metro Manila,Quezon City,"Polytechnic University of the Philippines-Quezon City Campus, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,Lyceum of Alabang,Private,Metro Manila,Muntinlupa,"Lyceum of Alabang, Muntinlupa, Metro Manila, Philippines"
13 - Nat. Capital Region,Rogationist Seminary College of Philosophy,Private,Metro Manila,Parañaque,"Rogationist Seminary College of Philosophy, Parañaque, Metro Manila, Philippines"
13 - Nat. Capital Region,La Consolacion College-Pasig,Private,Metro Manila,Pasig,"La Consolacion College-Pasig, Pasig, Metro Manila, Philippines"
13 - Nat. Capital Region,Gardner College Diliman,Private,Metro Manila,Quezon City,"Gardner College Diliman, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,ABE International Business College-Caloocan City,Private,Metro Manila,Caloocan,"ABE International Business College-Caloocan City, Caloocan, Metro Manila, Philippines"
13 - Nat. Capital Region,WCC Aeronautical & Technological College-North Manila,Private,Metro Manila,Caloocan,"WCC Aeronautical & Technological College-North Manila, Caloocan, Metro Manila, Philippines"
13 - Nat. Capital Region,Informatics College-Northgate,Private,Metro Manila,Muntinlupa,"Informatics College-Northgate, Muntinlupa, Metro Manila, Philippines"
13 - Nat. Capital Region,Pamantasan ng Lungsod ng Valenzuela,LUC,Metro Manila,Valenzuela,"Pamantasan ng Lungsod ng Valenzuela, Valenzuela, Metro Manila, Philippines"
13 - Nat. Capital Region,Marie-Bernarde College,Private,Metro Manila,Quezon City,"Marie-Bernarde College, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,Mary the Queen College of Quezon City,Private,Metro Manila,Quezon City,"Mary the Queen College of Quezon City, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,St. Bernadette of Lourdes College,Private,Metro Manila,Quezon City,"St. Bernadette of Lourdes College, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,Flight School International,Private,Metro Manila,Parañaque,"Flight School International, Parañaque, Metro Manila, Philippines"
13 - Nat. Capital Region,Capitol Medical Center Colleges,Private,Metro Manila,Quezon City,"Capitol Medical Center Colleges, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,New England College,Private,Metro Manila,Quezon City,"New England College, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,Universal Colleges of Parañaque,Private,Metro Manila,Parañaque,"Universal Colleges of Parañaque, Parañaque, Metro Manila, Philippines"
13 - Nat. Capital Region,Quezon City University,LUC,Metro Manila,Quezon City,"Quezon City University, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,Pamantasan ng Lungsod ng Marikina,LUC,Metro Manila,Marikina,"Pamantasan ng Lungsod ng Marikina, Marikina, Metro Manila, Philippines"
13 - Nat. Capital Region,Valenzuela City Polytechnic College,LUC,Metro Manila,Valenzuela,"Valenzuela City Polytechnic College, Valenzuela, Metro Manila, Philippines"
13 - Nat. Capital Region,South Mansfield College,Private,Metro Manila,Muntinlupa,"South Mansfield College, Muntinlupa, Metro Manila, Philippines"
13 - Nat. Capital Region,St. John of Beverly School,Private,Metro Manila,Quezon City,"St. John of Beverly School, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,Jesus Reigns Christian College Foundation,Private,Metro Manila,Manila,"Jesus Reigns Christian College Foundation, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,Villagers Montessori College,Private,Metro Manila,Quezon City,"Villagers Montessori College, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,AMA School of Medicine,Private,Metro Manila,Makati,"AMA School of Medicine, Makati, Metro Manila, Philippines"
13 - Nat. Capital Region,Enderun Colleges,Private,Metro Manila,Taguig,"Enderun Colleges, Taguig, Metro Manila, Philippines"
13 - Nat. Capital Region,Pateros Technological College,LUC,Metro Manila,Pateros,"Pateros Technological College, Pateros, Metro Manila, Philippines"
13 - Nat. Capital Region,Messiah College Foundation,Private,Metro Manila,Pasig,"Messiah College Foundation, Pasig, Metro Manila, Philippines"
13 - Nat. Capital Region,National Polytechnic College of Science and Technology,Private,Metro Manila,Quezon City,"National Polytechnic College of Science and Technology, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,Lady of Lourdes Hospital & Colleges of Caybiga,Private,Metro Manila,Caloocan,"Lady of Lourdes Hospital & Colleges of Caybiga, Caloocan, Metro Manila, Philippines"
13 - Nat. Capital Region,College of St. Catherine,Private,Metro Manila,Quezon City,"College of St. Catherine, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,Grace Christian College,Private,Metro Manila,Quezon City,"Grace Christian College, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,Taguig City University,LUC,Metro Manila,Taguig,"Taguig City University, Taguig, Metro Manila, Philippines"
13 - Nat. Capital Region,Centro Escolar University-Makati,Private,Metro Manila,Makati,"Centro Escolar University-Makati, Makati, Metro Manila, Philippines"
13 - Nat. Capital Region,Philippine Cultural College,Private,Metro Manila,Quezon City,"Philippine Cultural College, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,Diliman College,Private,Metro Manila,Quezon City,"Diliman College, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,Colegio de Sta. Teresa de Avila Foundation,Private,Metro Manila,Quezon City,"Colegio de Sta. Teresa de Avila Foundation, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,The One Nation Entrepreneur School,Private,Metro Manila,Makati,"The One Nation Entrepreneur School, Makati, Metro Manila, Philippines"
13 - Nat. Capital Region,Bestlink College of the Philippines,Private,Metro Manila,Quezon City,"Bestlink College of the Philippines, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,Global Reciprocal Colleges,Private,Metro Manila,Caloocan,"Global Reciprocal Colleges, Caloocan, Metro Manila, Philippines"
13 - Nat. Capital Region,Golden Link College Foundation,Private,Metro Manila,Quezon City,"Golden Link College Foundation, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,Pacific InterContinental College,Private,Metro Manila,Las Piñas,"Pacific InterContinental College, Las Piñas, Metro Manila, Philippines"
13 - Nat. Capital Region,Asian Institute of Computer Studies-Quezon City,Private,Metro Manila,Quezon City,"Asian Institute of Computer Studies-Quezon City, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,Far Eastern University-Makati,Private,Metro Manila,,
13 - Nat. Capital Region,Infotech College of Arts and Sciences Philippines,Private,Metro Manila,Marikina,"Infotech College of Arts and Sciences Philippines, Marikina, Metro Manila, Philippines"
13 - Nat. Capital Region,Treston International College,Private,Metro Manila,Taguig,"Treston International College, Taguig, Metro Manila, Philippines"
13 - Nat. Capital Region,Access Computer and Technical Colleges-Lagro,Private,Metro Manila,Quezon City,"Access Computer and Technical Colleges-Lagro, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,UBIX Institute of Technologies,Private,Metro Manila,Muntinlupa,"UBIX Institute of Technologies, Muntinlupa, Metro Manila, Philippines"
13 - Nat. Capital Region,College of Divine Wisdom,Private,Metro Manila,Parañaque,"College of Divine Wisdom, Parañaque, Metro Manila, Philippines"
13 - Nat. Capital Region,Meridian International College of Business and Arts,Private,Metro Manila,Taguig,"Meridian International College of Business and Arts, Taguig, Metro Manila, Philippines"
13 - Nat. Capital Region,La Consolacion College-Valenzuela,Private,Metro Manila,Valenzuela,"La Consolacion College-Valenzuela, Valenzuela, Metro Manila, Philippines"
13 - Nat. Capital Region,South SEED LPDH College,Private,Metro Manila,Las Piñas,"South SEED LPDH College, Las Piñas, Metro Manila, Philippines"
13 - Nat. Capital Region,Bethel Bible College of the Assemblies of God,Private,Metro Manila,Valenzuela,"Bethel Bible College of the Assemblies of God, Valenzuela, Metro Manila, Philippines"
13 - Nat. Capital Region,Christ the King College of Science and Technology,Private,Metro Manila,Muntinlupa,"Christ the King College of Science and Technology, Muntinlupa, Metro Manila, Philippines"
13 - Nat. Capital Region,Colegio de San Gabriel Archangel of Caloocan,Private,Metro Manila,Caloocan,"Colegio de San Gabriel Archangel of Caloocan, Caloocan, Metro Manila, Philippines"
13 - Nat. Capital Region,St. Vincent de Ferrer College of Camarin,Private,Metro Manila,Caloocan,"St. Vincent de Ferrer College of Camarin, Caloocan, Metro Manila, Philippines"
13 - Nat. Capital Region,Datamex College of Saint Adeline-Fairview,Private,Metro Manila,Quezon City,"Datamex College of Saint Adeline-Fairview, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,Asian Institute of Computer Studies-Bicutan,Private,Metro Manila,Parañaque,"Asian Institute of Computer Studies-Bicutan, Parañaque, Metro Manila, Philippines"
13 - Nat. Capital Region,Access Computer and Technical Colleges-Camarin,Private,Metro Manila,Caloocan,"Access Computer and Technical Colleges-Camarin, Caloocan, Metro Manila, Philippines"
13 - Nat. Capital Region,Datamex College of Saint Adeline-Valenzuela,Private,Metro Manila,Valenzuela,"Datamex College of Saint Adeline-Valenzuela, Valenzuela, Metro Manila, Philippines"
13 - Nat. Capital Region,School of Fashion and the Arts,Private,Metro Manila,Makati,"School of Fashion and the Arts, Makati, Metro Manila, Philippines"
13 - Nat. Capital Region,ICI Global University,Private,Metro Manila,Pasig,"ICI Global University, Pasig, Metro Manila, Philippines"
13 - Nat. Capital Region,Southville International School,Private,Metro Manila,Las Piñas,"Southville International School, Las Piñas, Metro Manila, Philippines"
13 - Nat. Capital Region,St. Therese of the Child Jesus Institute of Arts and Sciences,Private,Metro Manila,Pasay,"St. Therese of the Child Jesus Institute of Arts and Sciences, Pasay, Metro Manila, Philippines"
13 - Nat. Capital Region,Arellano University-Mandaluyong,Private,Metro Manila,Mandaluyong,"Arellano University-Mandaluyong, Mandaluyong, Metro Manila, Philippines"
13 - Nat. Capital Region,La Verdad Christian College-Caloocan,Private,Metro Manila,Caloocan,"La Verdad Christian College-Caloocan, Caloocan, Metro Manila, Philippines"
13 - Nat. Capital Region,Rizal Technological University-Pasig,SUC,Metro Manila,Pasig,"Rizal Technological University-Pasig, Pasig, Metro Manila, Philippines"
13 - Nat. Capital Region,Eclaro Academy,Private,Metro Manila,Quezon City,"Eclaro Academy, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,Asia Harvesters College and Seminary,Private,Metro Manila,Quezon City,"Asia Harvesters College and Seminary, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,Don Carlo Cavina School,Private,Metro Manila,Las Piñas,"Don Carlo Cavina School, Las Piñas, Metro Manila, Philippines"
13 - Nat. Capital Region,Integrated Innovation and Hospitality Colleges,Private,Metro Manila,Quezon City,"Integrated Innovation and Hospitality Colleges, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,Philippine School of Interior Design- AHLEN Institute,Private,Metro Manila,Taguig,"Philippine School of Interior Design- AHLEN Institute, Taguig, Metro Manila, Philippines"
13 - Nat. Capital Region,Recoletos School of Theology,Private,Metro Manila,Quezon City,"Recoletos School of Theology, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,Dr. Jose Fabella Memorial Hospital School of Midwifery,OGS,Metro Manila,Manila,"Dr. Jose Fabella Memorial Hospital School of Midwifery, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,CIIT College of Arts and Technology,Private,Metro Manila,Quezon City,"CIIT College of Arts and Technology, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,Southeast Asia Christian College,Private,Metro Manila,Caloocan,"Southeast Asia Christian College, Caloocan, Metro Manila, Philippines"
13 - Nat. Capital Region,Datamex College of Saint Adeline-Parañaque,Private,Metro Manila,Parañaque,"Datamex College of Saint Adeline-Parañaque, Parañaque, Metro Manila, Philippines"
13 - Nat. Capital Region,FEU Institute of Technology,Private,Metro Manila,Manila,"FEU Institute of Technology, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,Makati Science Technological Institute of the Philippines,Private,Metro Manila,Manila,"Makati Science Technological Institute of the Philippines, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,Electron College of Technical Education,Private,Metro Manila,Quezon City,"Electron College of Technical Education, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,Marianum College,Private,Metro Manila,Muntinlupa,"Marianum College, Muntinlupa, Metro Manila, Philippines"
13 - Nat. Capital Region,Metropolitan Institute of Arts and Sciences,Private,Metro Manila,Caloocan,"Metropolitan Institute of Arts and Sciences, Caloocan, Metro Manila, Philippines"
13 - Nat. Capital Region,Sapphire International Aviation Academy,Private,Metro Manila,Parañaque,"Sapphire International Aviation Academy, Parañaque, Metro Manila, Philippines"
13 - Nat. Capital Region,FEU Alabang,Private,Metro Manila,Muntinlupa,"FEU Alabang, Muntinlupa, Metro Manila, Philippines"
13 - Nat. Capital Region,GK College of Business Arts and Technology,Private,Metro Manila,Mandaluyong,"GK College of Business Arts and Technology, Mandaluyong, Metro Manila, Philippines"
13 - Nat. Capital Region,NBS College,Private,Metro Manila,Quezon City,"NBS College, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,St. Chamuel College,Private,Metro Manila,Taguig,"St. Chamuel College, Taguig, Metro Manila, Philippines"
13 - Nat. Capital Region,College of Saint Amatiel,Private,Metro Manila,Malabon,"College of Saint Amatiel, Malabon, Metro Manila, Philippines"
13 - Nat. Capital Region,South CompEdge College,Private,Metro Manila,Parañaque,"South CompEdge College, Parañaque, Metro Manila, Philippines"
13 - Nat. Capital Region,United Christian Academy College of Asia,Private,Metro Manila,Parañaque,"United Christian Academy College of Asia, Parañaque, Metro Manila, Philippines"
13 - Nat. Capital Region,Colegio de Muntinlupa,LUC,Metro Manila,Muntinlupa,"Colegio de Muntinlupa, Muntinlupa, Metro Manila, Philippines"
13 - Nat. Capital Region,Parañaque City College,LUC,Metro Manila,Parañaque,"Parañaque City College, Parañaque, Metro Manila, Philippines"
13 - Nat. Capital Region,ACLC College of Commonwealth,Private,Metro Manila,Quezon City,"ACLC College of Commonwealth, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,ACLC College of Manila,Private,Metro Manila,Manila,"ACLC College of Manila, Manila, Metro Manila, Philippines"
13 - Nat. Capital Region,FEU Diliman,Private,Metro Manila,Quezon City,"FEU Diliman, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,NU Fairview,Private,Metro Manila,Quezon City,"NU Fairview, Quezon City, Metro Manila, Philippines"
13 - Nat. Capital Region,St. Francis Technical Institute,Private,Metro Manila,Caloocan,"St. Francis Technical Institute, Caloocan, Metro Manila, Philippines"
13 - Nat. Capital Region,Mandaluyong College of Science and Technology,LUC,Metro Manila,Mandaluyong,"Mandaluyong College of Science and Technology, Mandaluyong, Metro Manila, Philippines"
13 - Nat. Capital Region,Iglesia ni Cristo (Church of Christ) School for Ministers,Private,Metro Manila,Quezon City,"Iglesia ni Cristo (Church of Christ) School for Ministers, Quezon City, Metro Manila, Philippines"
