city,page,title,description,project_unit,project_name,area,floor_area,price,location,bedrooms,bathrooms,floor,condition,property_type,offer_type,construction_year,parking_spaces,ownership_type,project_link,publish_date,publish_by
pasig,1,1BR OREAN RESIDENCE - PRE-SELLING IN VERTIS NORTH,,Orean Place,Orean Place,67 sqm,67 sqm,"₱ 24,848,214","Diliman, Quezon City",1 bedroom,1 bathroom,48,Partly furnished,Condo,For Sale,2032,1,Freehold,https://www.lamudi.com.ph/projects/orean-place/,"1 day, 3 hours ago",Ayala Land by Eddie Solo
pasig,1,2BR OREAN RESIDENCE - PRE-SELLING IN VERTIS NORTH,,Orean Place at Vertis North,Orean Place at Vertis North,96 sqm,96 sqm,"₱ 28,032,143","Diliman, Quezon City",2 bedrooms,2 bathrooms,15,Partly furnished,Condo,For Sale,2032,2,Freehold,https://www.lamudi.com.ph/projects/41032-73-f36c00dcb033-81bc-52423959-8477-4441,"1 day, 3 hours ago",Ayala Land by Eddie Solo
pasig,1,2BR OREAN RESIDENCE - PRE-SELLING IN VERTIS NORTH,,Orean Place,Orean Place,102 sqm,102 sqm,"₱ 36,071,429","Diliman, Quezon City",2 bedrooms,3 bathrooms,102,Partly furnished,Condo,For Sale,2032,2,Freehold,https://www.lamudi.com.ph/projects/orean-place/,"1 day, 3 hours ago",Ayala Land by Eddie Solo
pasig,1,3BR OREAN RESIDENCE - PRE-SELLING IN VERTIS NORTH,,Orean Place at Vertis North,Orean Place at Vertis North,141 sqm,141 sqm,"₱ 51,327,679","Diliman, Quezon City",3 bedrooms,4 bathrooms,35,Partly furnished,Condo,For Sale,2032,3,Freehold,https://www.lamudi.com.ph/projects/41032-73-f36c00dcb033-81bc-52423959-8477-4441,"1 day, 4 hours ago",Ayala Land by Eddie Solo
pasig,1,Residential Condominium in Portovita Quezon City For Sale,"CORNER UNIT (with front and side view)
2 Bedroom Unit with balcony

View: Overlooking Ortigas, BGC, Makati, Laguna de Bay, Antipolo/Montalban mountains

FULLY-FURNISHED with 2 aircon units.
No Parking Slot
Clean title",,,,45 sqm,"₱ 4,600,000","Cubao, Quezon City",,,,,Condo,For Sale,,,Freehold,,"1 day, 4 hours ago",My Hometown Realty and Developer Inc. (DMGS)
pasig,1,Resort 2BR Condo The Erin Heights Commonwealth Quezon City,,The Erin Heights,The Erin Heights,58 sqm,58 sqm,"₱ 7,894,000","Matandang Balara, Quezon City",2 bedrooms,1 bathroom,50,Unfurnished,Condo,For Sale,2027,,Freehold,https://www.lamudi.com.ph/projects/the-erin-heights/,"1 day, 4 hours ago",Wilver  Madarang
pasig,1,3BR OREAN PLACE TOWER 2 - NEAR RFO IN VERTIS NORTH,,Orean Place,Orean Place,118 sqm,118 sqm,"₱ 33,473,339","Diliman, Quezon City",3 bedrooms,4 bathrooms,2,Partly furnished,Condo,For Sale,2026,2,Freehold,https://www.lamudi.com.ph/projects/orean-place/,"1 day, 5 hours ago",Ayala Land by Eddie Solo
pasig,1,One Bedroom Unit - Across Ateneo de Manila,,,,42 sqm,42 sqm,"₱ 15,224,625","Loyola Heights, Quezon City",1 bedroom,1 bathroom,1,Partly furnished,Condo,For Sale,2031,1,Freehold,,"1 day, 6 hours ago",Carl Cabasag
pasig,1,"3-BR Condo Unit for Sale in Shang Summit, Sgt.Esguerra, Diliman Quezon City, similar to LAYA by Shang Properties and Shang Residences at Wack-Wack","Property ID: HRC_01

3-BR Condo Unit for Sale in Shang Summit, Sgt.Esguerra, Diliman Quezon City, similar to LAYA by Shang Properties and Shang Residences at Wack-Wack

Property Unit: 3 Bedroom
Parking Slot: 2
Floor Area (sqm): 160.05 - 160.39

Unit Price: 58,069,760

Sample Computation:

Total Contract Price: 	₱58,069,760
 Reservation Fee:  	₱150,000
 	 
 Option 1 	 
 10% DP for 5 mos 0% interest: 	₱1,161,395
 10% DP for 59 mos. 0% interest:  	₱98,423
 80% 65th payment: Bank loan or Cash 	₱46,455,808
 15 years via Bank loan: 	₱417,558
 	 
 Option 2 	 
 10% Downpayment:  	₱580,698
 20% For 54 Months  0% interest:  	₱215,073
 70% 65th payment: Bank loan or Cash 	₱40,648,832
 15 years via Bank loan: 	₱365,363

Our unit viewing is available everyday! For inquiries, please contact us anytime. -Dean San Juan of Homescape Realty 	

At over 250 meters in height, the Shang Summit towers will be the tallest residential development in the Philippines, poised to redefine the Quezon City and Metro Manila skylines with their iconic silhouettes.

Designed by world-renowned architectural firm P&T Group, Shang Summit features a stunning modern form and panoramic views of the city on all sides.

At a glance	
→ 259.7 Meters

HEIGHT	
→ 1020 (East Tower)	

UNITS	
→ 80 Floors	

FLOORS	
→ 2,318 sqm	

INDOOR AMENITIES	
→ 2496.53 sqm	

OUTDOOR AMENITIES	
→ 879 (East Tower) CARPARKS	

----------------------------------------------

HANDOVER PROVISIONS
•	Entrance: Digital lockset door
•	Living and Dining Spaces: Engineered wood, aircon
•	Master and Secondary Bedrooms: Aircon, modular wardrobe
•	Master & Secondary Bathrooms: Porcelain tiles, water heater
•	Kitchen: Branded appliances, modular cabinets
•	Utility Room: Porcelain tiles, painted walls
•	Utility Bathroom: Sink, shower, water heater
•	Balcony: Porcelain tile flooring

FACILITIES & SERVICES
•	24-hour management services by Shang Properties
•	Dedicated reception and concierge
•	24-hour security
•	CCTV monitoring system at main lobby, all lifts and amenities floor
•	Access cards for residences
•	RFID for vehicles
•	Centralized fire detection, alarm, and sprinkler system
•	Public address & background music at amenity area
•	Rubbish room with garbage chute in every floor for waste disposal

BUILDING FEATURES
•	Service / Fireman’s lift
•	100% back up power for common areas
•	70% back up power for residential units
•	Dedicated mail room
•	Dedicated utility meters for water, and electricity
•	Dual provisions for telephone and data points
•	Provision for cable television, fiber optic backbone
•	Fiber To The Home (FTTH) up to Residential Units",,,,160 sqm,"₱ 58,069,760","Diliman, Quezon City",3 bedrooms,3 bathrooms,,,Condo,For Sale,,2,,,"1 day, 7 hours ago",Homescape Realty
pasig,1,"2-BR Condo Unit for Sale in Shang Summit, Sgt.Esguerra, Diliman Quezon City, similar to LAYA by Shang Properties and Shang Residences at Wack-Wack","Property ID: HRC_01

2-BR Condo Unit for Sale in Shang Summit, Sgt.Esguerra, Diliman Quezon City, similar to LAYA by Shang Properties and Shang Residences at Wack-Wack

Property Unit: 2 Bedroom
Parking Slot: 1
Floor Area (sqm): 125.06 - 125.69

Unit Price: 40,026,560

Sample Computation:

Total Contract Price: 	₱40,026,560
 Reservation Fee:  	₱150,000
 	 
 Option 1 	 
 10% DP for 5 mos 0% interest: 	₱800,531
 10% DP for 59 mos. 0% interest:  	₱67,842
 80% 65th payment: Bank loan or Cash 	₱32,021,248
 15 years via Bank loan: 	₱287,816
 	 
 Option 2 	 
 10% Downpayment:  	₱400,266
 20% For 54 Months  0% interest:  	₱148,247
 70% 65th payment: Bank loan or Cash 	₱28,018,592
 15 years via Bank loan: 	₱251,839

Our unit viewing is available everyday! For inquiries, please contact us anytime. -Dean San Juan of Homescape Realty 	

At over 250 meters in height, the Shang Summit towers will be the tallest residential development in the Philippines, poised to redefine the Quezon City and Metro Manila skylines with their iconic silhouettes.

Designed by world-renowned architectural firm P&T Group, Shang Summit features a stunning modern form and panoramic views of the city on all sides.

At a glance	
→ 259.7 Meters

HEIGHT	
→ 1020 (East Tower)	

UNITS	
→ 80 Floors	

FLOORS	
→ 2,318 sqm	

INDOOR AMENITIES	
→ 2496.53 sqm	

OUTDOOR AMENITIES	
→ 879 (East Tower) CARPARKS	

----------------------------------------------

HANDOVER PROVISIONS
•	Entrance: Digital lockset door
•	Living and Dining Spaces: Engineered wood, aircon
•	Master and Secondary Bedrooms: Aircon, modular wardrobe
•	Master & Secondary Bathrooms: Porcelain tiles, water heater
•	Kitchen: Branded appliances, modular cabinets
•	Utility Room: Porcelain tiles, painted walls
•	Utility Bathroom: Sink, shower, water heater
•	Balcony: Porcelain tile flooring

FACILITIES & SERVICES
•	24-hour management services by Shang Properties
•	Dedicated reception and concierge
•	24-hour security
•	CCTV monitoring system at main lobby, all lifts and amenities floor
•	Access cards for residences
•	RFID for vehicles
•	Centralized fire detection, alarm, and sprinkler system
•	Public address & background music at amenity area
•	Rubbish room with garbage chute in every floor for waste disposal

BUILDING FEATURES
•	Service / Fireman’s lift
•	100% back up power for common areas
•	70% back up power for residential units
•	Dedicated mail room
•	Dedicated utility meters for water, and electricity
•	Dual provisions for telephone and data points
•	Provision for cable television, fiber optic backbone
•	Fiber To The Home (FTTH) up to Residential Units",,,,125 sqm,"₱ 40,026,560","Diliman, Quezon City",2 bedrooms,2 bathrooms,,,Condo,For Sale,,1,,,"1 day, 7 hours ago",Homescape Realty
